"mz_10eV","10eV","mz_15eV","15eV","mz_35eV","35eV"
"50.3578","2.80E+1","50.3554","2.50E+1","51.0216","4.50E+1"
"51.586","2.10E+1","50.4798","4.60E+1","51.1203","1.01E+2"
"52.0446","2.60E+1","51.4003","2.10E+1","52.0137","2.20E+1"
"52.5801","4.00E+1","52.913","2.20E+1","52.9501","2.60E+1"
"52.9477","2.10E+1","53.1516","2.30E+1","53.0152","8.80E+1"
"53.7442","2.00E+1","54.7456","2.40E+1","53.0391","2.50E+1"
"54.2007","2.20E+1","55.0474","5.19E+1","53.3701","2.30E+1"
"54.4889","2.60E+1","55.0558","1.18E+2","53.7769","2.60E+1"
"54.5529","2.50E+1","55.0838","9.80E+1","54.0348","2.50E+1"
"54.7883","2.70E+1","55.8755","3.00E+1","54.086","2.70E+1"
"55.0545","2.30E+1","55.9092","2.40E+1","54.3025","2.80E+1"
"55.673","2.20E+1","56.0468","5.60E+1","55.0259","2.70E+1"
"55.8193","2.90E+1","56.6373","2.00E+1","55.0368","2.58E+1"
"55.925","2.20E+1","57.0267","4.60E+1","55.0523","2.55E+2"
"56.4683","2.50E+1","57.0487","2.70E+1","55.6969","2.70E+1"
"57.0311","2.90E+1","57.0679","2.70E+1","56.042","7.44E+1"
"57.2538","2.70E+1","57.2574","2.30E+1","56.0448","6.61E+1"
"57.3127","3.60E+1","57.2958","2.70E+1","56.051","2.09E+2"
"57.6746","2.60E+1","58.0408","4.20E+1","57.0233","2.70E+1"
"58.1386","2.80E+1","58.0487","5.62E+1","57.0328","6.30E+1"
"58.4815","2.10E+1","58.0647","1.53E+2","57.0684","7.40E+1"
"59.0883","2.20E+1","58.7333","2.30E+1","58.0636","1.10E+2"
"59.9782","3.80E+1","59.0397","4.80E+1","59.0525","3.30E+1"
"61.4014","2.00E+1","59.0495","8.10E+1","59.0681","2.40E+1"
"61.7235","2.20E+1","59.1163","2.30E+1","61.6348","2.10E+1"
"62.7352","2.90E+1","59.6886","3.60E+1","62.3991","2.50E+1"
"64.3312","2.10E+1","60.5792","2.90E+1","62.7118","2.30E+1"
"64.5023","3.00E+1","60.7755","2.00E+1","65.0192","3.48E+1"
"64.9145","2.70E+1","60.7987","2.20E+1","65.0374","8.30E+2"
"65.6403","2.10E+1","60.8217","2.30E+1","66.0342","4.30E+1"
"65.9177","2.20E+1","60.8891","6.40E+1","66.0477","4.17E+1"
"66.0345","2.90E+1","61.3436","5.50E+1","66.468","2.10E+1"
"66.4044","4.60E+1","61.7519","2.00E+1","66.5176","2.00E+1"
"66.6634","2.20E+1","62.5224","2.30E+1","67.0183","2.10E+1"
"66.8826","4.00E+1","63.2939","2.30E+1","67.042","4.54E+2"
"67.0581","4.60E+1","63.335","2.20E+1","67.0542","1.44E+3"
"67.9048","3.40E+1","63.442","2.30E+1","67.0772","4.70E+1"
"68.041","9.90E+1","63.5632","2.20E+1","67.3907","2.10E+1"
"68.052","5.50E+1","63.8164","2.10E+1","68.0264","4.24E+1"
"68.9185","2.40E+1","64.9988","2.40E+1","68.0497","3.74E+3"
"68.9553","2.80E+1","65.0369","5.90E+1","68.0686","1.27E+1"
"69.0094","2.20E+1","66.007","2.10E+1","68.1264","2.00E+1"
"69.0301","1.29E+2","66.2016","2.60E+1","68.5086","2.10E+1"
"69.8123","2.20E+1","66.7148","2.20E+1","68.7069","4.80E+1"
"70.0522","6.22E+1","67.0337","2.70E+1","68.9994","2.50E+1"
"70.0629","3.85E+2","67.0453","1.14E+2","69.0346","6.73E+2"
"70.1104","4.30E+1","67.0528","2.05E+2","69.054","8.68E+1"
"70.7186","2.60E+1","67.0668","2.70E+1","69.069","5.56E+2"
"71.0481","8.90E+1","67.1129","4.00E+1","69.0876","2.20E+1"
"71.3819","3.60E+1","67.1623","2.20E+1","69.4929","3.20E+1"
"72.0796","4.25E+2","67.3525","2.50E+1","69.9483","2.50E+1"
"73.0849","2.30E+1","67.4376","2.10E+1","70.0285","1.86E+2"
"73.5007","2.20E+1","67.5318","3.80E+1","70.0393","1.33E+2"
"74.0279","2.30E+1","67.6241","2.10E+1","70.0651","6.42E+3"
"74.0597","2.00E+1","67.7628","2.40E+1","70.3707","2.20E+1"
"74.6129","3.30E+1","68.0423","1.48E+2","70.9584","2.30E+1"
"75.5329","3.50E+1","68.0496","5.64E+2","71.0241","2.20E+1"
"76.009","2.70E+1","68.2985","2.30E+1","71.0498","1.50E+3"
"77.0335","2.00E+1","68.4817","7.80E+1","71.0709","2.94E+2"
"78.2157","5.20E+1","69.0317","1.13E+3","71.0849","4.42E+1"
"79.0559","4.30E+1","69.048","2.88E+1","71.9527","2.10E+1"
"79.6412","3.00E+1","69.0687","2.91E+2","72.0343","7.20E+1"
"79.721","3.10E+1","69.1963","4.50E+1","72.0463","3.09E+2"
"79.7708","2.20E+1","69.5621","2.10E+1","72.0653","8.67E+1"
"80.0516","2.20E+1","69.6509","4.80E+1","72.0805","1.49E+3"
"80.1018","2.10E+1","69.8695","2.40E+1","72.2147","2.80E+1"
"80.5199","2.00E+1","70.0256","2.10E+1","73.0303","2.50E+1"
"80.7341","2.50E+1","70.0373","2.50E+1","73.0423","1.89E+1"
"80.8168","2.70E+1","70.0645","2.58E+3","73.0501","1.27E+2"
"81.0409","2.40E+1","70.0987","4.20E+1","73.0713","2.30E+1"
"81.0691","2.96E+2","71.0226","2.05E+1","73.0848","1.38E+2"
"81.0895","2.30E+1","71.0402","1.37E+2","73.2511","2.20E+1"
"81.6831","4.00E+1","71.0479","4.12E+2","74.0239","4.44E+2"
"81.8942","2.60E+1","71.0576","1.70E+2","74.0618","9.70E+1"
"82.0618","4.88E+2","71.069","4.88E+1","74.0977","2.60E+1"
"82.0769","3.50E+1","71.3603","2.50E+1","74.1111","3.70E+1"
"83.0529","2.40E+1","71.381","4.70E+1","75.0202","2.40E+1"
"83.0761","4.30E+1","71.4632","6.50E+1","75.212","3.00E+1"
"83.6977","2.10E+1","71.5021","2.50E+1","75.5859","3.50E+1"
"83.845","2.30E+1","71.8984","5.10E+1","75.9613","2.30E+1"
"84.0136","2.20E+1","72.0207","2.30E+1","77.0192","5.90E+1"
"84.0425","2.21E+2","72.0383","3.10E+1","77.038","2.06E+3"
"84.0653","1.20E+2","72.0499","2.50E+1","78.0314","2.79E+2"
"84.0808","1.35E+3","72.061","2.10E+1","78.0471","1.64E+1"
"84.3225","2.20E+1","72.0788","8.63E+2","79.0093","2.70E+1"
"85.0111","2.00E+1","72.1373","3.70E+1","79.0352","5.10E+1"
"85.039","2.20E+1","72.3382","3.00E+1","79.0546","2.59E+3"
"85.08","1.07E+2","72.6255","3.30E+1","79.9587","4.50E+1"
"85.2555","2.50E+1","72.8457","2.80E+1","80.0202","6.01E+1"
"85.4804","1.63E+2","72.98","3.70E+1","80.0293","5.10E+1"
"85.528","2.40E+1","73.0176","2.60E+1","80.049","2.48E+3"
"85.6467","2.40E+1","73.0847","4.70E+1","80.1669","2.80E+1"
"85.9878","4.10E+1","73.3601","2.20E+1","80.2034","3.50E+1"
"86.0601","9.17E+2","73.9793","2.40E+1","80.4652","3.80E+1"
"86.0964","2.79E+3","74.0239","1.59E+2","80.597","2.30E+1"
"86.1343","2.20E+1","74.1342","2.10E+1","81.0053","4.50E+1"
"86.3956","3.00E+1","74.7218","2.10E+1","81.0459","2.50E+3"
"87.0492","2.10E+1","74.8137","2.20E+1","81.0699","4.26E+3"
"87.0658","1.78E+2","74.9142","1.22E+2","81.1088","2.80E+1"
"87.0938","1.24E+2","75.0257","3.80E+1","81.1384","4.00E+1"
"87.1016","5.98E+1","75.0557","2.10E+1","81.27","6.20E+1"
"87.1069","4.96E+1","75.1298","2.30E+1","81.3062","5.00E+1"
"87.1116","2.41E+1","75.6733","2.80E+1","81.9859","3.50E+1"
"87.8927","2.20E+1","75.9848","2.70E+1","82.0262","1.99E+2"
"88.0338","6.10E+1","76.0447","5.50E+1","82.0501","2.36E+3"
"88.0409","1.66E+2","76.1607","2.50E+1","82.0647","1.37E+4"
"88.0717","9.40E+1","76.6829","2.20E+1","82.0862","7.24E+1"
"88.196","3.21E+1","77.0403","1.60E+2","82.0972","8.20E+1"
"88.2041","2.79E+1","77.168","4.40E+1","82.1589","3.00E+1"
"88.2506","2.20E+1","77.4221","2.70E+1","82.184","2.30E+1"
"88.4859","2.10E+1","77.5588","2.10E+1","82.2443","2.40E+1"
"88.8012","7.40E+1","78.9318","2.80E+1","82.2604","3.30E+1"
"88.9042","2.10E+1","79.0542","6.06E+2","82.2709","3.10E+1"
"88.9215","2.30E+1","79.096","2.20E+1","82.3064","2.60E+1"
"88.9426","3.60E+1","79.111","2.10E+1","82.3551","7.60E+1"
"89.0409","2.10E+1","79.159","4.00E+1","82.4817","5.80E+1"
"90.8957","2.50E+1","79.2499","2.10E+1","82.5129","4.70E+1"
"91.0532","1.24E+2","79.9509","2.10E+1","83.0219","1.82E+1"
"92.0506","1.20E+2","80.0495","2.96E+2","83.0602","7.30E+3"
"92.2138","7.00E+1","80.6081","2.50E+1","83.0763","8.11E+2"
"92.7825","3.30E+1","80.9658","2.10E+1","83.0884","1.80E+2"
"93.0379","2.50E+1","81.0396","1.07E+2","83.1032","2.57E+1"
"93.0587","1.04E+2","81.0565","4.06E+2","83.177","5.30E+1"
"93.0676","4.47E+1","81.0716","1.35E+3","83.2221","6.00E+1"
"93.0724","4.18E+1","81.218","2.80E+1","83.619","4.70E+1"
"93.2426","2.10E+1","81.4627","2.70E+1","83.6716","5.10E+1"
"93.4042","2.30E+1","81.6449","3.50E+1","83.7668","2.20E+1"
"93.4391","3.00E+1","81.6809","2.40E+1","83.8493","2.10E+1"
"93.471","2.90E+1","81.7176","3.80E+1","83.9478","2.20E+1"
"93.4965","2.70E+1","81.7909","2.10E+1","83.9561","2.70E+1"
"93.5147","2.70E+1","81.9592","3.20E+1","83.9765","3.70E+1"
"93.6713","6.20E+1","81.9756","2.60E+1","83.9952","3.70E+1"
"94.0672","5.70E+1","82.033","1.02E+2","84.0104","2.00E+1"
"94.2415","2.00E+1","82.0655","5.06E+3","84.0445","3.23E+3"
"95.071","7.00E+1","82.0856","4.19E+1","84.0808","7.09E+4"
"95.6766","2.10E+1","82.0939","4.50E+1","84.108","2.36E+2"
"95.9165","3.20E+1","82.1221","4.88E+1","84.1367","3.00E+1"
"96.0606","2.30E+1","82.1316","4.90E+1","84.1732","3.60E+1"
"96.0838","1.94E+2","82.2587","2.00E+1","84.3641","5.20E+1"
"96.1182","2.10E+1","82.2828","2.20E+1","84.5287","2.20E+1"
"96.2257","2.10E+1","82.3508","4.10E+1","84.6177","3.70E+1"
"96.2814","2.40E+1","82.6639","2.80E+1","84.6859","2.70E+1"
"96.7571","2.10E+1","82.7333","2.60E+1","84.8144","3.90E+1"
"96.971","2.30E+1","83.0472","1.00E+2","85.0186","2.50E+1"
"97.0468","3.50E+1","83.0608","5.54E+2","85.03","1.29E+2"
"97.062","3.14E+1","83.0738","2.01E+2","85.0458","3.04E+2"
"97.0755","5.52E+1","83.0863","1.34E+2","85.065","4.12E+2"
"97.8588","2.20E+1","83.1346","5.00E+1","85.0838","3.28E+3"
"97.9446","2.70E+1","83.1521","3.00E+1","85.1235","2.30E+1"
"98.0163","2.10E+1","83.3897","3.60E+1","85.5766","3.00E+1"
