"mz_10eV","10eV","mz_15eV","15eV","mz_35eV","35eV"
"50.5763","2.10E+1","50.5636","3.40E+1","51.0251","2.10E+1"
"50.8956","2.10E+1","53.8968","2.70E+1","53.6463","2.80E+1"
"53.0236","2.40E+1","54.8933","2.10E+1","55.0568","2.10E+1"
"54.7964","2.40E+1","55.0238","2.20E+1","56.0495","2.70E+1"
"57.5692","3.40E+1","55.0565","4.40E+1","57.1893","2.10E+1"
"59.4379","2.30E+1","56.0124","2.60E+1","58.6265","2.40E+1"
"60.8328","2.30E+1","56.3256","4.10E+1","60.0566","3.10E+2"
"61.9673","2.40E+1","59.4052","2.10E+1","60.7996","2.50E+1"
"62.6025","2.00E+1","60.0548","2.25E+2","61.0611","2.20E+1"
"68.3861","2.00E+1","62.4136","3.60E+1","63.5766","4.20E+1"
"69.7884","2.10E+1","68.0424","3.80E+1","65.0364","8.20E+1"
"70.051","2.00E+1","68.6667","3.30E+1","66.9991","9.30E+1"
"70.0643","2.77E+2","69.1624","2.20E+1","67.0529","3.10E+1"
"70.0849","3.00E+1","70.0236","2.10E+1","68.0518","2.19E+2"
"70.3425","4.90E+1","70.0368","2.40E+1","69.05","2.20E+1"
"70.7928","3.00E+1","70.0648","2.27E+3","69.4453","4.40E+1"
"72.078","5.60E+1","70.119","3.90E+1","70.0302","8.60E+1"
"72.1544","2.00E+1","71.0685","1.65E+2","70.0656","1.48E+4"
"76.0802","2.20E+1","71.5402","2.30E+1","70.0847","3.40E+1"
"76.4545","2.90E+1","72.074","4.88E+1","70.0895","2.10E+1"
"76.9378","2.70E+1","72.0822","3.43E+2","70.1042","2.30E+1"
"78.4077","2.40E+1","72.1137","2.40E+1","71.0257","4.00E+1"
"78.6106","2.10E+1","73.1308","3.60E+1","71.0499","2.47E+2"
"78.8133","2.10E+1","73.2007","2.60E+1","71.068","2.58E+2"
"79.4896","2.20E+1","73.2626","2.00E+1","71.6752","6.80E+1"
"81.0385","2.10E+1","74.0258","2.20E+1","72.0541","5.00E+1"
"82.3533","5.30E+1","74.0542","2.20E+1","72.0814","1.10E+3"
"83.2426","2.50E+1","76.0487","2.50E+1","73.0326","9.20E+1"
"84.0831","7.70E+1","78.1965","2.30E+1","73.0597","3.20E+1"
"86.0977","6.90E+1","79.5619","2.10E+1","73.0826","1.22E+2"
"87.0576","2.30E+1","81.0139","2.10E+1","74.0248","2.10E+1"
"88.0389","2.70E+1","81.0314","1.36E+2","75.0545","2.30E+1"
"88.5139","2.60E+1","81.0602","2.20E+1","75.3061","2.40E+1"
"89.0121","2.40E+1","82.0656","5.30E+1","76.0597","2.00E+1"
"91.0624","4.69E+1","82.1989","2.50E+1","76.9949","2.80E+1"
"91.0705","2.85E+1","82.308","2.60E+1","77.0396","2.21E+3"
"92.2167","2.20E+1","83.0512","8.20E+1","77.0624","2.20E+1"
"92.3418","2.30E+1","84.0449","2.71E+2","77.5691","2.00E+1"
"93.0493","2.60E+1","84.083","7.07E+2","77.6992","2.70E+1"
"93.5793","2.90E+1","85.0353","7.80E+1","78.0315","6.04E+1"
"94.0742","6.90E+1","85.0583","4.10E+1","78.043","4.48E+1"
"94.9486","3.40E+1","85.077","2.50E+1","78.0491","3.68E+1"
"95.0597","3.60E+1","86.0048","2.20E+1","78.0523","2.09E+1"
"96.4581","3.50E+1","86.0812","2.70E+1","78.7537","2.00E+1"
"98.0535","2.80E+1","86.0977","5.19E+2","79.0175","2.51E+1"
"99.0397","3.30E+1","86.1849","2.60E+1","79.026","2.40E+1"
"99.0907","2.30E+1","86.8005","2.30E+1","79.0535","6.40E+1"
"102.0262","2.50E+1","87.0973","1.13E+2","80.0171","2.70E+1"
"102.0571","3.30E+1","87.1055","2.20E+1","80.0521","8.00E+1"
"102.7267","2.30E+1","88.0397","4.50E+1","81.0363","7.07E+1"
"102.8188","2.50E+1","88.0736","2.47E+1","81.0461","2.33E+1"
"103.0242","4.00E+1","88.083","2.28E+1","81.3021","3.70E+1"
"103.0558","1.03E+2","88.7036","2.40E+1","81.9649","3.60E+1"
"104.051","3.60E+1","89.0681","2.30E+1","82.0392","3.00E+1"
"104.0709","2.10E+1","89.2507","2.10E+1","82.0698","3.19E+2"
"104.2391","2.70E+1","89.2924","6.70E+1","83.0008","2.00E+1"
"104.688","2.10E+1","91.0517","6.40E+1","83.0653","2.07E+2"
"105.3261","2.30E+1","91.3936","2.20E+1","83.0782","2.60E+1"
"106.0543","2.02E+2","91.486","3.20E+1","83.7092","5.80E+1"
"106.6218","4.00E+1","91.9795","2.60E+1","84.0063","2.80E+1"
"106.8722","2.30E+1","93.051","2.30E+1","84.048","2.77E+2"
"107.0496","4.50E+1","93.0676","2.10E+1","84.0815","9.83E+2"
"108.6186","2.10E+1","93.7899","2.80E+1","84.1192","2.30E+1"
"109.0332","3.40E+1","95.0604","6.20E+1","85.0361","4.70E+1"
"109.1297","2.20E+1","95.888","2.50E+1","85.0674","5.12E+1"
"109.5646","2.50E+1","96.0448","1.82E+2","85.0788","1.21E+2"
"109.6973","3.60E+1","96.0827","4.20E+1","85.0879","1.65E+2"
"110.0619","5.00E+1","97.0307","9.80E+1","85.4961","2.30E+1"
"110.0741","1.04E+2","97.0458","2.10E+1","86.0484","3.10E+1"
"111.0902","2.10E+1","97.0575","3.40E+1","86.0651","2.70E+1"
"111.2067","2.10E+1","97.0784","2.34E+2","86.099","6.37E+1"
"111.8682","7.80E+1","97.1286","2.10E+1","86.4903","5.60E+1"
"112.0913","4.69E+2","97.8364","3.00E+1","87.0805","3.22E+2"
"112.5559","2.30E+1","97.9179","2.30E+1","87.1004","2.30E+1"
"112.9247","2.20E+1","98.038","2.90E+1","88.0753","9.10E+1"
"113.0579","2.60E+1","98.062","1.86E+2","90.7624","2.30E+1"
"113.0744","8.74E+1","98.0762","3.51E+1","91.0313","3.35E+2"
"113.0919","5.31E+1","98.0958","4.30E+1","91.0555","3.62E+3"
"114.0558","2.20E+1","99.0407","4.06E+1","91.0776","9.10E+1"
"114.1073","2.70E+1","99.0539","2.17E+2","91.5773","2.20E+1"
"114.2572","2.40E+1","99.0668","2.30E+1","92.0477","4.08E+1"
"115.0872","7.11E+2","99.0955","2.20E+1","92.0602","2.35E+2"
"115.1124","2.10E+1","100.0244","2.30E+1","92.565","2.00E+1"
"115.34","2.00E+1","100.0576","2.90E+1","93.0155","2.20E+1"
