"mz_10eV","10eV","mz_20eV","20eV","mz_40eV","40eV"
"57.1341","2.10E+1","58.184","2.00E+1","57.1933","5.20E+1"
"59.4462","2.60E+1","61.5722","2.50E+1","69.0685","8.00E+1"
"61.2698","2.10E+1","62.5059","2.60E+1","70.0248","9.60E+1"
"65.3883","2.40E+1","68.0147","2.10E+1","70.0662","9.03E+2"
"67.5624","2.20E+1","68.0964","4.60E+1","70.0802","6.38E+1"
"69.2857","2.90E+1","68.6855","3.50E+1","71.0683","1.43E+2"
"70.709","2.20E+1","69.0758","3.40E+1","72.0812","1.30E+3"
"72.0735","2.10E+1","70.014","2.70E+1","73.034","2.70E+1"
"75.6077","2.40E+1","70.0272","1.35E+2","73.0833","4.90E+1"
"79.3363","2.40E+1","70.0522","2.50E+1","74.0211","4.30E+1"
"84.0396","2.10E+1","70.0661","8.60E+1","74.0606","1.53E+2"
"84.0479","3.00E+1","70.3658","2.10E+1","75.0639","2.40E+1"
"86.0904","3.40E+1","70.731","2.10E+1","77.0348","7.10E+1"
"87.0568","3.13E+2","71.0363","3.00E+1","79.0605","2.60E+1"
"87.2219","2.80E+1","72.0815","1.89E+3","81.0355","1.33E+2"
"87.5684","3.10E+1","73.088","2.20E+1","81.0483","2.80E+1"
"88.0654","7.10E+1","74.0252","2.00E+1","81.0732","2.10E+1"
"88.4765","2.10E+1","74.0689","4.30E+1","82.0655","4.50E+1"
"93.0148","2.00E+1","75.4516","3.50E+1","84.0455","5.78E+2"
"93.3082","2.10E+1","76.6782","2.30E+1","84.0815","5.65E+2"
"94.798","2.10E+1","79.2576","2.30E+1","84.9458","2.40E+1"
"95.6926","3.70E+1","79.6438","2.50E+1","85.0266","1.41E+2"
"98.0343","2.00E+1","80.1254","2.90E+1","85.0421","9.19E+1"
"98.7919","2.70E+1","81.4851","2.10E+1","85.0518","1.35E+1"
"99.3957","2.30E+1","81.6631","2.20E+1","85.0764","5.70E+1"
"102.0595","2.00E+1","82.0685","4.00E+1","85.0881","2.70E+1"
"104.0396","2.10E+1","84.0443","2.29E+2","86.0417","4.67E+1"
"104.0722","2.20E+1","84.0716","2.90E+1","86.0509","5.90E+1"
"104.4301","2.60E+1","84.0834","1.64E+2","86.0972","3.66E+2"
"106.7666","2.00E+1","85.0276","4.20E+1","87.0564","6.44E+2"
"109.0733","5.40E+1","85.0592","2.90E+1","87.0776","5.20E+1"
"115.0414","4.20E+1","85.083","2.10E+1","87.0882","2.28E+1"
"115.0557","2.10E+1","86.0435","2.20E+1","87.1042","5.70E+1"
"115.0903","2.50E+1","86.0961","6.02E+2","88.0003","2.80E+1"
"116.0274","2.90E+1","86.9798","2.10E+1","88.0402","4.95E+2"
"117.8864","5.30E+1","87.0171","2.50E+1","89.0423","2.20E+1"
"118.0876","2.40E+1","87.0353","4.67E+1","89.1429","2.10E+1"
"120.0675","5.03E+2","87.0559","2.76E+3","91.0373","1.96E+1"
"120.0858","6.08E+1","87.1022","6.60E+1","91.0544","1.06E+3"
"120.2764","2.10E+1","87.1253","1.02E+2","92.0606","4.80E+1"
"123.0459","5.20E+1","87.9286","8.90E+1","93.0715","3.00E+1"
"126.094","2.00E+1","88.0407","4.63E+2","94.0656","7.50E+1"
"127.0414","5.10E+1","88.0579","6.90E+1","94.9381","3.50E+1"
"128.0734","4.50E+1","88.0683","3.40E+1","94.9578","2.50E+1"
"128.3052","2.20E+1","88.1149","2.40E+1","95.0485","4.07E+1"
"129.0427","2.20E+1","89.7392","2.20E+1","95.0597","4.20E+1"
"130.0553","1.03E+2","90.0499","4.60E+1","95.4627","2.50E+1"
"130.0899","5.60E+1","90.0926","3.50E+1","96.0465","1.97E+2"
"131.0713","2.80E+1","90.5832","2.50E+1","96.0631","2.00E+1"
"131.2444","2.80E+1","91.0533","2.50E+1","96.0803","1.07E+2"
"131.3737","2.10E+1","91.8428","6.50E+1","96.1073","2.80E+1"
"131.6871","3.30E+1","91.8762","4.70E+1","97.0317","4.30E+1"
"132.0987","3.70E+1","93.0464","2.70E+1","97.0695","2.10E+1"
"132.7753","2.00E+1","93.7363","2.10E+1","97.0843","9.50E+1"
"133.0293","7.70E+1","95.0322","2.10E+1","98.0294","2.50E+1"
"133.0628","7.14E+3","95.0514","2.60E+1","98.0606","1.22E+2"
