"mz_10eV","10eV","mz_15eV","15eV","mz_35eV","35eV"
"51.3674","2.00E+1","56.7705","2.00E+1","55.0219","2.20E+1"
"53.5525","2.70E+1","58.3062","2.20E+1","57.0591","2.40E+1"
"62.571","3.90E+1","62.9602","2.10E+1","58.367","2.40E+1"
"64.3914","6.00E+1","69.0334","2.48E+2","60.0584","2.10E+1"
"66.751","2.50E+1","69.1932","2.20E+1","62.5818","2.10E+1"
"70.0612","2.10E+1","70.0249","6.80E+1","62.7616","2.40E+1"
"70.068","4.20E+1","70.0701","2.30E+1","62.9351","2.40E+1"
"74.0619","2.40E+1","70.7049","2.90E+1","62.9645","8.40E+1"
"74.0961","2.80E+1","71.0338","2.40E+1","63.1152","4.80E+1"
"76.6401","2.30E+1","71.0455","2.70E+1","65.0392","8.76E+1"
"79.5081","2.60E+1","72.1559","2.60E+1","66.0244","5.50E+1"
"80.0471","2.60E+1","73.0812","2.40E+1","67.0358","2.10E+1"
"80.9676","3.10E+1","74.0614","6.80E+1","67.0571","7.80E+1"
"84.0368","3.20E+1","80.0448","8.50E+1","67.9815","3.10E+1"
"85.0275","2.60E+1","80.9717","9.21E+1","67.9981","5.00E+1"
"85.8637","2.10E+1","80.9792","6.49E+1","68.0136","9.78E+2"
"86.0974","1.16E+2","81.0428","2.80E+1","68.0414","2.90E+1"
"87.106","2.30E+1","82.0326","2.00E+1","68.0567","4.80E+1"
"91.3","2.70E+1","83.3858","6.70E+1","68.7504","2.80E+1"
"92.706","2.20E+1","84.025","2.70E+1","68.9983","2.10E+1"
"95.4605","2.20E+1","84.0385","3.32E+1","69.0224","1.72E+2"
"96.0083","2.15E+2","84.0476","4.30E+1","69.035","3.82E+2"
"96.0469","3.10E+1","84.0824","4.80E+1","70.0298","7.49E+2"
"97.0297","7.30E+1","84.9788","5.10E+1","70.0643","2.79E+2"
"98.9588","2.70E+1","85.0258","2.94E+2","70.9477","2.10E+1"
"98.9862","2.83E+2","86.0991","1.43E+2","71.0133","2.10E+1"
"103.0384","4.50E+1","87.0502","3.20E+1","71.0322","6.90E+1"
"103.0565","2.90E+1","87.0587","2.30E+1","71.0522","2.10E+1"
"103.6323","2.80E+1","87.0997","2.90E+1","71.0694","2.40E+1"
"104.0726","2.20E+1","87.8467","2.20E+1","72.0854","2.43E+2"
"104.3927","2.20E+1","91.0565","2.30E+1","72.722","7.00E+1"
"106.0436","1.69E+1","94.0288","1.08E+2","72.9357","2.10E+1"
"106.0549","1.26E+2","95.0266","1.48E+2","72.9608","2.20E+1"
"107.2487","2.80E+1","96.0086","9.29E+2","73.0308","2.90E+1"
"108.0353","1.25E+2","96.0418","2.30E+1","73.0608","2.10E+1"
"108.0498","5.20E+1","96.2121","2.70E+1","73.0854","2.50E+1"
"109.0311","3.00E+1","96.3316","5.40E+1","73.2444","2.20E+1"
"109.1466","2.10E+1","96.9648","2.60E+1","73.7312","2.10E+1"
"109.9819","2.00E+1","96.9801","2.50E+1","76.8764","2.00E+1"
"111.054","2.10E+1","97.0105","6.20E+1","77.0396","4.04E+2"
"111.3535","6.50E+1","97.0292","9.77E+2","78.0182","1.75E+1"
"112.7274","2.10E+1","98.0341","1.25E+2","78.0344","2.66E+2"
"112.8844","2.70E+1","98.5296","3.30E+1","78.0503","1.93E+1"
"112.9321","2.00E+1","98.9321","2.10E+1","79.0224","7.50E+1"
"112.9819","3.00E+1","98.9612","6.74E+1","79.0361","2.40E+1"
"113.001","1.07E+2","98.9857","3.90E+3","79.0455","5.73E+1"
"113.0364","2.06E+4","99.0197","9.00E+1","79.0558","1.96E+2"
"113.0639","5.88E+1","99.0448","6.90E+1","80.0509","3.21E+3"
"113.0695","7.34E+1","99.0919","2.20E+1","80.0853","2.30E+1"
"113.0759","6.68E+1","100.6859","2.10E+1","80.9517","1.97E+1"
"113.3601","2.50E+1","100.9915","2.80E+1","80.9757","2.30E+3"
"113.3941","2.40E+1","101.0069","2.60E+1","81.036","2.55E+2"
"114.0394","1.08E+3","101.0641","2.18E+1","81.053","2.34E+2"
"114.5001","6.40E+1","101.0754","4.80E+1","81.0765","2.00E+1"
"114.6172","2.40E+1","102.0587","1.00E+2","82.0298","4.24E+2"
"115.0358","2.40E+1","102.0785","2.10E+1","82.0502","2.19E+1"
