"mz_10eV","10 ev","mz_20eV","20 ev","mz_40eV","40 ev"
"70.0209","2.60E+1","51.694","2.70E+1","51.0246","2.30E+1"
"72.0791","2.50E+1","55.782","2.90E+1","54.5789","2.00E+1"
"74.9243","2.30E+1","70.0616","7.50E+1","65.0316","2.40E+1"
"76.1961","4.30E+1","71.067","2.60E+1","68.0508","2.80E+1"
"77.2829","2.10E+1","72.0808","4.40E+1","68.9883","6.80E+1"
"86.088","2.96E+1","74.0225","3.10E+1","70.0561","2.10E+1"
"86.0999","1.17E+2","84.0458","3.10E+1","70.0654","6.90E+1"
"87.1036","2.10E+1","84.0822","8.70E+1","71.0668","2.60E+1"
"97.0562","2.10E+1","86.0976","1.59E+2","72.0335","2.20E+1"
"103.0498","2.00E+1","87.0495","2.10E+1","72.06","3.70E+1"
"115.0845","2.20E+1","89.0692","3.60E+1","72.0786","2.10E+1"
"115.1908","2.70E+1","90.0519","2.10E+1","77.0395","2.33E+2"
"116.066","4.40E+1","90.8681","3.50E+1","78.0344","4.10E+1"
"116.0833","2.00E+1","91.0583","2.10E+1","79.0516","1.05E+2"
"117.0382","3.20E+1","93.048","4.00E+1","81.0423","6.32E+1"
"120.0827","1.63E+3","93.0626","2.20E+1","82.0526","2.20E+1"
"121.0891","9.50E+1","95.0491","8.10E+1","83.0582","1.33E+2"
"123.0379","2.90E+1","97.0374","5.40E+1","84.0546","2.00E+1"
"123.0619","2.40E+1","99.7538","2.50E+1","84.0832","1.95E+2"
"123.2844","3.10E+1","101.0745","2.20E+1","84.1039","2.40E+1"
"127.0416","4.50E+1","102.0347","2.20E+1","84.9622","2.00E+1"
"129.0933","8.90E+1","102.0446","2.15E+1","85.0383","4.90E+1"
"130.0586","3.30E+1","102.0655","2.10E+1","85.0858","2.10E+1"
"130.0905","3.30E+1","103.0342","4.50E+1","86.0894","7.39E+1"
"131.079","2.20E+1","103.0569","1.37E+2","86.1008","1.06E+2"
"132.0981","1.29E+2","104.0539","2.08E+1","89.0362","7.60E+1"
"133.0192","2.10E+1","104.063","2.30E+1","89.0502","1.97E+1"
"133.0453","2.35E+1","106.0543","2.40E+1","90.0558","2.50E+1"
"133.0599","8.90E+1","107.0419","2.30E+1","91.0565","2.53E+2"
"133.3674","5.60E+1","108.0536","2.40E+1","92.0486","2.40E+1"
"134.0318","2.30E+1","108.103","2.10E+1","92.9651","4.00E+1"
"136.0758","9.50E+1","110.0729","3.20E+2","93.0351","4.31E+1"
"137.0699","4.30E+1","110.1359","6.60E+1","93.0435","2.07E+2"
"141.4017","2.60E+1","112.0817","3.20E+1","93.0716","1.72E+2"
"142.2858","3.00E+1","113.9494","2.30E+1","94.0366","2.20E+1"
"144.1077","6.10E+1","114.0902","1.06E+2","94.0571","4.41E+1"
"147.0443","5.70E+1","114.5525","2.80E+1","94.0763","8.14E+1"
"147.0753","2.80E+1","114.6963","2.10E+1","95.035","2.30E+1"
"147.0869","4.20E+1","115.0504","1.33E+2","95.0478","2.47E+1"
"148.0629","1.63E+2","115.0612","3.30E+1","95.0617","2.14E+2"
"150.0614","1.54E+3","115.091","2.10E+1","96.5694","3.60E+1"
"150.2351","6.10E+1","116.0626","2.90E+1","96.7251","2.60E+1"
"151.0631","8.48E+1","116.0748","5.40E+1","96.9696","2.50E+1"
"152.0493","2.90E+1","117.0485","4.02E+1","97.0354","4.40E+1"
"156.0607","4.90E+1","117.0596","4.13E+1","98.5163","3.30E+1"
"156.0796","2.10E+1","118.0668","7.40E+1","98.9627","2.00E+1"
"157.0893","2.40E+1","118.0879","2.50E+1","98.9805","2.40E+1"
"157.1324","1.23E+2","119.05","5.30E+1","99.0582","2.10E+1"
"158.1317","2.10E+1","119.0912","2.20E+1","102.0441","1.93E+1"
"159.0711","4.80E+1","120.0508","3.30E+1","102.0517","5.67E+1"
"159.0851","2.10E+1","120.0578","7.05E+1","102.6173","3.70E+1"
"159.1122","3.00E+1","120.0817","7.74E+3","103.035","1.40E+2"
"159.554","3.40E+1","120.1378","6.20E+1","103.0555","6.01E+2"
"163.0528","2.60E+1","121.0846","7.32E+2","103.0705","7.69E+1"
"165.0551","6.20E+1","122.0875","4.00E+1","103.092","2.00E+1"
"166.0656","6.70E+1","123.046","2.10E+1","104.0563","8.10E+1"
"166.0829","1.21E+2","123.0714","2.20E+1","104.9601","2.40E+1"
"166.0968","7.28E+1","123.3955","3.50E+1","105.0659","2.41E+1"
"166.2778","2.80E+1","124.0863","2.40E+1","105.0747","2.80E+1"
"167.1003","7.60E+1","126.0606","2.20E+1","106.0709","2.10E+1"
"168.0964","2.10E+1","127.0014","2.00E+1","107.047","2.19E+2"
"169.0627","2.90E+1","127.0429","2.00E+1","107.0657","3.20E+1"
