"mz_10eV","10eV","mz_20eV","20eV","mz_40eV","40eV"
"50.5288","2.20E+1","51.1763","3.40E+1","50.2524","2.10E+1"
"50.7477","2.70E+1","51.9925","2.50E+1","55.0133","3.90E+1"
"51.6384","2.10E+1","54.139","2.30E+1","55.0518","2.10E+1"
"52.471","3.80E+1","55.047","2.30E+1","56.0271","2.60E+1"
"53.0136","3.00E+1","57.3375","2.40E+1","56.0562","2.50E+1"
"53.279","2.50E+1","57.6677","2.20E+1","57.0718","2.50E+1"
"53.5219","2.00E+1","58.1235","2.70E+1","59.031","3.10E+1"
"58.8392","2.10E+1","59.5463","2.50E+1","59.0469","2.00E+1"
"72.0665","3.80E+1","59.716","3.30E+1","60.0434","2.30E+1"
"82.0403","2.20E+1","63.6561","2.50E+1","65.0437","2.80E+1"
"82.1323","2.30E+1","68.0547","2.00E+1","67.0472","2.62E+1"
"82.594","2.10E+1","69.072","4.40E+1","67.0556","9.98E+1"
"84.6971","3.40E+1","70.0311","9.21E+1","67.291","2.30E+1"
"87.6143","3.80E+1","70.0643","2.06E+2","68.0471","4.40E+1"
"88.0396","2.20E+1","71.032","3.10E+1","68.7192","2.70E+1"
"88.7271","2.40E+1","71.0484","8.42E+1","69.0319","2.82E+2"
"92.2167","2.00E+1","71.0569","2.38E+1","69.0645","3.00E+1"
"103.0447","2.60E+1","71.3453","3.60E+1","69.0742","2.20E+1"
"104.0706","2.40E+1","71.5813","2.40E+1","70.0174","2.20E+1"
"105.0684","8.40E+1","72.0804","6.26E+2","70.0316","7.30E+1"
"106.045","5.90E+1","72.6752","2.40E+1","70.0457","2.73E+1"
"107.4407","2.20E+1","73.0674","2.50E+1","70.0653","2.40E+3"
"111.6766","2.80E+1","73.086","4.70E+1","71.0504","6.40E+1"
"113.5833","2.10E+1","73.7101","2.90E+1","72.0816","8.74E+2"
"115.0541","1.99E+2","74.0389","2.20E+1","73.0869","6.50E+1"
"116.0722","9.80E+1","74.0655","2.50E+1","74.0578","2.10E+1"
"116.5304","2.10E+1","77.6704","3.70E+1","74.0981","7.30E+1"
"118.0918","2.70E+1","79.0596","2.50E+1","76.0213","3.00E+1"
"125.846","2.10E+1","81.0768","2.20E+1","77.0425","7.20E+1"
"129.0726","2.00E+1","82.0689","7.50E+1","78.0446","2.40E+1"
"129.0862","2.90E+1","82.5275","4.20E+1","78.7636","2.00E+1"
"130.0484","5.19E+1","83.0524","2.20E+1","79.0501","2.40E+1"
"130.0607","2.41E+1","84.046","2.17E+2","79.0592","4.60E+1"
"130.0759","2.60E+1","84.0821","1.74E+3","79.0726","4.70E+1"
"132.1008","2.20E+1","84.1092","2.10E+1","80.0318","2.40E+1"
"133.0662","2.70E+1","84.1686","3.70E+1","80.0482","2.50E+1"
"133.0844","4.70E+1","84.9038","2.90E+1","81.0354","3.57E+2"
"133.9844","2.20E+1","85.0323","3.00E+1","81.1061","2.00E+1"
"137.0653","2.10E+1","85.0704","8.50E+1","82.0217","2.00E+1"
"138.7956","2.30E+1","85.0823","8.38E+1","82.0316","5.96E+1"
"139.0397","2.70E+1","86.063","3.20E+1","82.0387","2.59E+1"
"139.3213","2.10E+1","86.0969","8.21E+2","82.0663","1.97E+2"
"139.4945","2.20E+1","87.0409","2.40E+1","82.2639","3.50E+1"
"141.0675","2.20E+1","87.0532","1.10E+2","83.05","2.63E+2"
"142.0168","2.30E+1","87.0642","1.72E+2","83.525","2.40E+1"
"142.1082","3.20E+1","87.0943","2.40E+1","84.0444","6.26E+2"
"143.0291","3.00E+1","87.1041","5.90E+1","84.0831","3.17E+3"
"143.1156","2.20E+1","87.5691","3.40E+1","84.1349","2.40E+1"
"144.6453","2.30E+1","87.7183","2.20E+1","84.1965","4.30E+1"
"145.0472","4.50E+1","88.0279","1.94E+1","84.9877","2.40E+1"
"145.9528","2.70E+1","88.0426","1.95E+2","85.031","2.65E+2"
"147.0826","6.90E+1","88.0761","1.07E+2","85.0456","7.99E+1"
"148.0695","2.70E+1","89.3332","2.20E+1","85.0851","2.10E+1"
"150.2604","2.60E+1","91.0539","4.90E+1","85.0932","2.10E+1"
"150.3264","2.10E+1","92.0567","4.10E+1","86.0322","5.50E+1"
"153.1403","2.00E+1","94.0686","1.41E+2","86.064","3.70E+1"
