"mz_15eV","15eV","mz_35eV","35eV","mz_55eV","55eV"
"151.1958","2.60E+1","151.0415","1.10E+2","151.0291","8.78E+1"
"153.0532","2.60E+1","151.0642","2.50E+1","151.0421","4.70E+1"
"153.1149","2.50E+1","151.09","2.96E+2","151.0611","7.22E+1"
"155.0745","5.00E+1","151.1914","6.60E+1","151.0878","7.51E+2"
"156.0846","2.40E+1","151.2479","2.80E+1","151.1275","2.06E+1"
"157.0961","4.80E+1","152.8755","2.10E+1","152.0437","2.50E+1"
"157.1064","2.20E+1","153.0522","2.60E+1","152.0631","3.90E+1"
"159.1015","6.48E+1","153.0744","2.50E+1","152.0849","1.87E+2"
"161.8801","2.30E+1","153.1037","6.06E+2","152.1058","5.03E+1"
"163.0404","2.80E+1","153.1306","2.30E+1","152.6331","3.10E+1"
"164.0411","2.20E+1","153.6125","2.90E+1","153.0457","4.40E+1"
"164.684","2.00E+1","154.0665","2.90E+1","153.0672","1.39E+2"
"165.0553","2.28E+1","154.1049","6.50E+1","153.104","9.74E+2"
"165.0629","3.33E+1","154.12","3.10E+1","154.0863","2.76E+2"
"165.0733","3.80E+1","154.2766","2.10E+1","154.1127","1.87E+2"
"166.0817","2.70E+1","154.5371","2.10E+1","154.1429","2.30E+1"
"167.4185","2.50E+1","155.0452","1.89E+2","154.1574","2.14E+1"
"168.0698","2.10E+1","155.0549","1.32E+2","155.0415","5.84E+1"
"169.13","1.04E+2","155.0815","2.15E+3","155.082","4.40E+3"
"171.1079","3.10E+1","155.1202","8.48E+1","155.1161","4.90E+1"
"174.8112","3.60E+1","155.8989","3.60E+1","155.7171","2.20E+1"
"175.7443","2.20E+1","156.0386","2.40E+1","156.0641","4.90E+1"
"182.1859","2.10E+1","156.0667","2.50E+1","156.0866","3.02E+2"
"183.0569","4.60E+1","156.0848","2.60E+2","156.1156","2.20E+1"
"183.1611","1.09E+2","156.1087","6.11E+1","156.138","1.44E+2"
"183.9906","2.80E+1","156.1406","1.86E+2","156.9198","2.70E+1"
"184.6231","4.40E+1","156.965","2.20E+1","157.0005","6.30E+1"
"187.1163","2.20E+1","157.0142","2.10E+1","157.0583","2.25E+2"
"188.0456","2.20E+1","157.0415","3.30E+1","157.0977","3.62E+3"
"188.0793","2.20E+1","157.0618","4.06E+2","157.1359","4.90E+1"
"189.1145","2.00E+1","157.0977","6.96E+3","157.1724","2.10E+1"
"193.1131","3.10E+1","157.1415","4.87E+1","157.6772","4.00E+1"
"197.1298","4.21E+2","157.153","2.70E+1","158.08","4.28E+2"
"197.7332","2.00E+1","158.04","2.37E+1","158.1015","3.37E+2"
"198.6546","2.50E+1","158.0541","2.10E+1","158.9969","2.90E+1"
"202.1152","6.40E+1","158.0743","7.08E+1","159.0573","4.38E+1"
"203.0984","2.10E+1","158.0895","1.90E+2","159.0773","2.82E+2"
"203.1573","2.40E+1","158.1022","4.93E+2","159.0909","9.94E+2"
"205.106","1.07E+2","158.2074","2.40E+1","159.1268","2.60E+1"
"205.1455","5.50E+1","158.2939","5.60E+1","160.1134","2.20E+1"
"209.4649","2.10E+1","159.0403","2.00E+1","161.0683","5.83E+1"
"211.1415","2.20E+1","159.0847","4.84E+3","161.087","1.30E+1"
"211.1808","2.90E+1","159.4477","3.80E+1","161.3001","4.00E+1"
"212.0841","4.20E+1","160.0796","1.93E+2","162.0278","2.33E+1"
"212.6899","5.10E+1","160.092","9.71E+1","162.0565","9.49E+1"
"213.1022","2.00E+1","160.3495","5.90E+1","163.0387","2.80E+2"
"215.1305","2.40E+1","160.5358","3.50E+1","163.0748","4.76E+1"
"216.1381","2.30E+1","161.0777","4.69E+1","163.7171","2.10E+1"
"216.5559","5.60E+1","162.0518","5.80E+1","164.04","1.35E+2"
"218.5782","2.00E+1","163.0376","5.95E+2","164.0669","8.21E+1"
"219.1326","2.20E+1","163.3633","2.70E+1","164.0885","2.20E+1"
"221.0719","2.00E+1","164.0354","5.30E+1","164.126","2.40E+1"
"224.1035","1.56E+2","164.1073","2.70E+1","165.0133","2.30E+1"
"228.0984","3.40E+1","164.1272","2.30E+1","165.0629","9.91E+2"
"228.1387","2.20E+1","164.5433","2.00E+1","165.1056","6.55E+1"
"228.686","3.20E+1","165.0195","5.20E+1","165.1199","1.55E+1"
