"mz_10eV","10 ev","mz_20eV","20 ev","mz_40eV","40 ev"
"220.0755","2.400e1","105.7518","7.800e1","99.2062","2.100e1"
"222.2162","2.200e1","107.1581","3.000e1","99.8434","2.100e1"
"222.4886","2.600e1","110.2126","3.500e1","100.0372","4.413e1"
"222.7007","7.200e1","111.0556","4.200e1","100.0531","1.993e2"
"222.9326","3.600e1","112.0887","1.204e3","100.0806","5.331e1"
"224.3291","2.600e1","112.1482","4.700e1","100.1728","2.900e1"
"226.1404","4.300e1","112.3987","3.300e1","100.9962","3.000e1"
"227.4693","7.300e1","112.4426","2.200e1","101.0210","6.200e1"
"228.9726","2.600e1","113.0180","2.000e1","101.0328","3.258e1"
"229.4890","6.100e1","113.0738","1.190e2","101.0725","1.207e4"
"229.7887","2.300e1","113.0965","4.600e1","101.1301","2.400e1"
"233.1047","2.300e1","115.0530","2.790e2","101.7517","2.200e1"
"233.9777","2.300e1","115.0884","3.575e2","102.0310","2.200e1"
"234.9152","1.347e1","116.0863","8.300e1","102.0518","2.100e1"
"234.9315","5.553e1","116.1002","2.530e1","102.0733","6.970e2"
"241.0986","2.300e1","116.3212","2.800e1","102.3036","2.100e1"
"243.1083","2.200e1","117.9066","2.200e1","103.0561","5.373e2"
"249.8512","2.400e1","119.6380","2.300e1","103.0761","9.086e1"
"250.0776","2.400e1","120.0814","2.557e2","104.0526","2.100e1"
"250.1064","3.200e1","121.0875","2.500e1","104.5631","2.000e1"
"250.6165","2.800e1","122.0734","2.900e1","104.6967","2.600e1"
"251.2863","2.100e1","122.8559","2.700e1","104.8095","2.100e1"
"252.1682","2.600e1","124.0864","2.100e1","105.0681","3.937e2"
"252.7559","2.700e1","124.8360","2.500e1","105.1956","2.600e1"
"252.8591","2.800e1","125.0394","2.800e1","105.2294","2.100e1"
"253.7199","2.400e1","125.0748","2.700e1","105.2402","2.095e1"
"257.5355","2.000e1","125.8428","2.200e1","105.5249","3.400e1"
"263.5062","4.500e1","127.0332","3.100e1","106.7924","2.300e1"
"263.5605","2.100e1","127.0555","2.800e1","107.0441","2.000e1"
"264.0596","2.000e1","127.0931","7.800e1","107.6873","3.800e1"
"264.2597","3.600e1","128.0854","2.700e1","107.7575","2.600e1"
"264.6997","2.900e1","129.0669","2.310e2","108.0447","7.700e1"
"269.1086","2.200e1","129.1126","7.400e1","108.0605","2.500e1"
"269.6009","2.000e1","129.1395","2.100e1","108.0708","2.400e1"
"270.0030","2.400e1","129.6610","2.700e1","108.8788","2.300e1"
"270.8779","2.000e1","130.0597","4.800e1","109.0434","2.400e2"
"271.2328","2.300e1","130.2697","3.300e1","109.0773","1.310e2"
"271.8864","2.700e1","131.0777","1.060e2","109.8058","2.100e1"
"272.0750","2.200e1","131.1308","2.700e1","110.0062","2.817e1"
"273.0422","2.400e1","131.7406","3.400e1","110.0251","7.783e2"
"273.9217","2.200e1","132.0750","6.843e1","110.0685","4.014e2"
"274.1642","2.200e1","132.0875","1.657e1","110.2271","2.300e1"
"274.6910","2.200e1","133.0642","2.000e1","110.9673","2.300e1"
"275.1761","2.300e1","133.0859","2.100e1","111.0571","4.068e2"
"280.6093","2.100e1","133.1024","2.100e1","111.0714","4.545e1"
"281.1731","9.800e1","133.1256","2.600e1","111.3330","2.400e1"
"283.3048","2.600e1","134.5818","2.000e1","111.4573","2.100e1"
"285.5580","2.500e1","136.0907","1.780e2","112.0400","6.324e2"
"287.0865","2.200e1","137.0750","5.400e1","112.0888","9.974e3"
"288.0472","6.100e1","138.0560","2.000e1","112.1268","4.300e1"
"289.3606","2.000e1","139.0516","8.600e1","112.2267","2.300e1"
"290.5923","2.900e1","139.0814","2.400e1","113.0367","4.585e2"
"292.2941","2.800e1","140.0810","3.130e2","113.0732","2.964e3"
"292.4953","2.400e1","140.7426","3.800e1","113.0967","4.262e2"
"294.9818","3.300e1","141.0859","1.180e2","113.4235","2.200e1"
"295.1067","2.100e1","141.5696","8.100e1","114.0357","2.123e1"
"295.1369","5.100e1","143.0501","1.170e2","114.0570","1.407e2"
"295.6639","2.300e1","143.3718","2.400e1","114.0754","2.368e2"
"296.7077","2.100e1","144.0825","7.200e1","114.1015","3.870e2"
"296.9544","2.100e1","144.1097","2.000e1","115.0522","1.027e4"
"298.9483","2.100e1","145.0718","2.200e1","115.0886","7.760e3"
"300.1358","2.400e1","146.0971","1.690e2","115.1212","5.300e1"
"300.2080","2.300e1","147.0705","2.600e1","115.1401","4.300e1"
"300.4572","2.300e1","147.5748","2.400e1","115.2116","3.400e1"
"302.5050","2.300e1","147.8964","2.100e1","115.4096","2.500e1"
"303.1909","2.100e1","148.0621","7.200e1","115.6184","2.700e1"
"304.8577","8.400e1","149.0249","2.400e1","115.8619","4.400e1"
"305.1333","2.200e1","149.1598","2.400e1","116.0343","1.740e2"
"306.5514","7.300e1","150.1000","2.100e1","116.0535","2.895e2"
"307.0684","2.600e1","152.0746","2.700e1","116.0731","1.169e3"
"307.9748","2.100e1","152.0927","5.400e1","116.0926","3.150e2"
"309.6616","7.600e1","153.0054","3.300e1","116.1268","2.500e1"
"312.1316","2.400e1","153.1171","2.200e1","116.3335","2.100e1"
"312.2245","2.900e1","153.1384","4.400e1","116.3520","2.100e1"
"313.1080","2.100e1","155.0453","2.239e2","116.9717","2.000e1"
"315.4020","2.700e1","155.0900","4.500e1","117.0317","2.100e1"
"316.3668","2.100e1","155.9476","5.200e1","117.0577","7.800e1"
"318.7390","2.300e1","156.0849","4.600e1","117.0950","8.200e1"
"319.1342","2.300e1","156.4971","6.000e1","117.7494","3.700e1"
"331.1138","2.200e1","157.0583","6.578e2","117.7577","2.600e1"
"339.1170","2.300e1","157.1071","2.117e2","118.0690","2.500e1"
"339.8947","2.800e1","157.5130","2.700e1","118.9309","3.500e1"
"342.6859","4.500e1","158.0123","2.300e1","119.0563","1.020e2"
"347.3644","3.300e1","158.0699","2.100e1","120.0502","2.400e1"
"348.0947","2.300e1","158.0953","9.920e2","120.0819","8.950e3"
"348.6537","2.300e1","158.6274","2.100e1","120.1413","2.500e1"
"354.1716","2.500e1","159.0903","8.500e1","120.4367","2.400e1"
"354.3338","2.000e1","159.8436","2.200e1","120.5619","2.200e1"
"356.6908","2.000e1","160.0757","2.185e2","121.0416","3.100e1"
"360.2171","2.300e1","160.0935","5.500e1","121.0868","4.106e2"
"370.1209","2.000e1","161.0730","9.300e1","121.1047","2.058e1"
"371.0243","2.400e1","161.9424","2.400e1","121.2709","4.000e1"
"371.0857","3.200e1","163.4998","2.400e1","121.4591","2.100e1"
"374.0823","2.100e1","164.0849","5.100e1","122.0262","1.010e2"
"374.1604","6.200e1","164.8950","2.400e1","122.0589","1.589e1"
"374.2286","2.600e1","165.2946","2.200e1","122.0707","6.284e0"
"375.2438","2.300e1","166.0889","1.640e2","122.0951","1.582e2"
"377.1594","2.100e1","167.0431","1.420e2","122.4418","2.700e1"
"377.9443","3.700e1","167.0896","9.100e1","122.8741","2.300e1"
"378.1399","2.900e1","168.0387","2.300e1","122.9923","2.200e1"
"378.5383","2.000e1","168.0726","2.100e1","123.0567","1.460e2"
"378.8612","2.900e1","168.0931","2.200e1","124.0401","4.322e1"
"379.2320","2.300e1","169.1109","7.200e1","124.0536","1.794e2"
"380.2246","2.000e1","169.2884","3.500e1","124.0878","4.251e2"
"380.6237","2.800e1","170.0910","2.100e1","124.7255","4.000e1"
"389.9580","2.200e1","170.4776","2.400e1","125.0318","1.006e2"
"390.0634","2.600e1","170.6526","2.500e1","125.0449","8.430e1"
"391.1596","3.400e1","171.0907","2.400e1","125.0737","3.150e2"
"391.7975","4.200e1","172.0726","7.988e2","125.1575","2.200e1"
"393.1218","2.000e1","172.1116","9.140e2","125.5673","3.100e1"
"393.9258","7.300e1","173.0608","4.900e1","126.0182","5.700e1"
"394.1693","2.200e1","173.0814","2.080e1","126.0364","1.219e2"
"394.3053","2.000e1","173.0997","2.359e1","126.0568","1.347e2"
"394.4368","2.800e1","173.1093","2.312e1","126.0695","1.404e2"
"396.4286","4.700e1","174.0892","2.671e2","126.2002","2.100e1"
"397.0869","4.000e1","174.2362","2.400e1","126.4442","2.600e1"
"398.6411","2.200e1","175.0474","2.800e1","126.6198","2.100e1"
"400.1454","4.300e1","175.0861","3.000e1","127.0160","2.500e1"
"401.1288","8.900e1","175.1205","8.012e2","127.0528","2.696e3"
"403.3730","2.400e1","175.2451","4.300e1","127.0886","9.631e2"
"404.5362","2.900e1","175.3162","2.100e1","127.1152","2.800e1"
"404.6793","2.200e1","176.1225","4.700e1","127.6332","9.200e1"
"405.2491","2.500e1","176.4298","2.300e1","127.9956","4.900e1"
"405.5325","4.300e1","176.6779","2.900e1","128.0348","4.402e1"
"405.6218","2.300e1","179.0886","2.600e1","128.0547","2.270e2"
"406.1343","2.200e1","180.0786","2.030e2","128.0833","1.132e3"
"406.1846","2.500e1","181.0542","9.000e1","128.1602","2.500e1"
"407.0239","2.400e1","181.0683","1.010e2","128.2168","4.400e1"
"407.1900","2.600e1","182.0970","8.200e1","128.9619","2.100e1"
"407.6836","4.000e1","183.0638","2.200e1","129.0682","2.222e3"
"408.3428","3.700e1","183.0911","2.300e1","129.1030","1.408e2"
"409.5192","2.600e1","183.1454","4.800e1","129.1229","5.300e1"
"409.8232","2.400e1","184.0726","3.670e2","130.0521","7.166e2"
"409.8824","2.000e1","185.0591","1.140e3","130.0999","5.191e2"
"410.0469","2.000e1","185.0968","8.900e1","130.8028","2.400e1"
"410.1276","3.700e1","185.3938","2.100e1","131.0418","2.900e1"
"410.2288","3.800e1","185.9767","3.600e1","131.0569","2.876e1"
"410.7869","2.200e1","186.0598","6.000e1","131.0829","1.531e2"
"411.2010","2.400e1","186.0878","7.600e1","131.1013","6.004e1"
"411.6802","2.784e1","186.1329","1.130e2","131.1320","2.300e1"
"411.6972","3.547e1","187.0891","2.500e1","131.1645","2.200e1"
"411.7099","2.545e1","189.0981","1.210e2","132.0249","2.500e1"
"412.1803","3.400e1","190.0824","2.400e1","132.0785","3.467e3"
"412.2224","2.500e1","190.1012","5.900e1","132.1157","4.558e1"
"412.9335","2.200e1","191.0383","3.100e1","132.2246","2.200e1"
"414.1926","4.500e1","192.0793","2.400e1","133.0433","1.136e1"
"414.4339","2.500e1","192.1004","3.000e1","133.0620","2.469e2"
"415.0921","2.000e1","194.0979","2.300e1","133.0794","8.644e1"
"415.2693","2.000e1","195.8145","3.300e1","133.0951","1.427e2"
"415.3402","2.200e1","196.0761","2.600e1","133.2688","4.900e1"
"416.7508","2.600e1","196.1266","8.700e1","133.5097","2.300e1"
"418.1219","2.100e1","196.3863","2.700e1","133.8830","3.600e1"
"418.4418","3.500e1","197.0610","1.550e2","134.0746","7.864e1"
"418.5021","2.100e1","197.1059","2.586e3","134.3519","3.900e1"
"418.8615","2.800e1","197.1621","5.000e1","135.0332","1.555e1"
"419.0092","2.000e1","197.2991","2.100e1","135.0561","4.724e2"
"419.6066","2.900e1","197.5720","2.500e1","135.2684","2.600e1"
"419.9587","2.900e1","198.0401","2.400e1","135.7598","2.400e1"
"420.0613","2.100e1","198.0901","8.653e2","135.8444","2.600e1"
"420.6986","3.100e1","198.1108","2.747e2","135.8905","2.400e1"
"420.8054","2.300e1","199.0832","1.200e2","136.0411","1.300e3"
"421.4091","2.500e1","199.6778","2.200e1","136.0649","8.248e1"
"421.6689","2.800e1","200.0520","2.000e1","136.0883","2.430e3"
"422.0622","2.200e1","200.3478","2.500e1","136.1642","3.700e1"
"422.1121","2.100e1","200.5482","3.100e1","136.2672","2.400e1"
"422.1848","8.600e1","200.7252","3.600e1","136.2909","5.000e1"
"422.2237","2.100e1","201.0047","7.100e1","136.6514","8.000e1"
"422.7074","4.400e1","201.0976","9.300e1","136.8742","2.100e1"
"422.7706","4.700e1","202.0358","2.070e2","136.9276","2.600e1"
"422.9472","2.100e1","202.0838","4.571e3","136.9886","2.000e1"
"423.3713","2.300e1","202.1336","2.100e1","137.0367","7.165e2"
"423.8199","4.300e1","202.1487","4.060e1","137.0743","1.718e3"
"424.3216","2.300e1","202.1635","2.900e1","137.0984","7.698e1"
"424.7440","2.200e1","202.2063","2.500e1","138.0220","2.070e2"
"424.8547","2.200e1","202.2294","3.800e1","138.0573","6.570e2"
"425.2425","3.700e1","202.8003","2.100e1","138.0775","3.923e2"
"425.5626","2.000e1","203.0609","4.448e1","138.1143","1.152e1"
"425.8611","1.460e2","203.0867","4.723e2","138.3623","2.600e1"
"425.9055","2.500e1","203.1198","2.100e1","138.6012","2.000e1"
"425.9798","2.000e1","204.0313","3.000e1","138.8705","2.400e1"
"426.1724","2.100e1","204.0868","2.500e1","139.0237","7.878e1"
"426.5101","2.500e1","206.0897","4.800e1","139.0521","3.310e3"
"426.5610","7.300e1","206.3543","2.300e1","139.0761","1.398e2"
"426.8134","3.000e1","207.0921","5.100e1","139.0979","1.698e2"
"426.8954","2.200e1","207.1178","2.500e1","139.1510","2.200e1"
