"mz_10eV","10eV","mz_20eV","20eV","mz_40eV","40eV"
"50.9971","2.50E+1","51.8777","2.70E+1","56.0463","2.14E+2"
"54.9689","2.80E+1","52.942","2.20E+1","56.0583","2.40E+1"
"59.3778","2.10E+1","53.6474","2.60E+1","65.0392","6.10E+1"
"59.8359","2.00E+1","56.0478","2.20E+1","67.0428","2.70E+1"
"62.5292","2.40E+1","65.0388","2.10E+1","68.0535","2.10E+1"
"69.8378","2.30E+1","67.7434","3.20E+1","69.0365","2.30E+1"
"70.0708","4.20E+1","69.0686","4.70E+1","70.032","4.80E+1"
"72.0523","3.50E+1","70.0639","5.02E+2","70.0657","5.13E+2"
"72.0747","2.70E+1","72.0779","2.33E+2","72.0553","2.00E+1"
"75.7062","3.50E+1","72.7016","3.50E+1","72.0826","9.30E+1"
"84.0405","2.10E+1","74.0648","4.60E+1","74.065","6.40E+1"
"84.0822","4.84E+2","77.1313","4.50E+1","79.0441","4.20E+1"
"85.0274","6.60E+1","79.3552","3.60E+1","79.0562","7.40E+1"
"85.1035","3.10E+1","81.0308","1.26E+2","80.0269","2.10E+1"
"86.0977","7.10E+1","81.0425","2.80E+1","80.0416","2.70E+1"
"87.0549","3.70E+1","82.0649","2.80E+1","80.0528","7.20E+1"
"89.1968","2.80E+1","83.0199","3.30E+1","81.0344","1.14E+2"
"90.3531","2.10E+1","83.0601","2.50E+1","81.0507","2.40E+1"
"96.0382","2.00E+1","84.0378","1.33E+2","81.644","2.40E+1"
"96.0713","2.20E+1","84.049","1.58E+2","82.0664","3.95E+2"
"97.0251","2.10E+1","84.0821","9.07E+3","82.6709","3.30E+1"
"99.044","4.70E+1","84.1505","2.10E+1","83.0382","2.20E+1"
"100.0287","2.10E+1","85.0244","2.20E+1","83.0561","4.80E+1"
"101.4248","2.40E+1","85.0344","2.20E+1","83.0755","7.30E+1"
"102.0359","2.00E+1","85.0569","3.10E+1","84.0468","3.21E+2"
"106.0529","6.30E+1","85.0852","5.01E+2","84.0825","7.80E+3"
"106.3362","2.70E+1","85.6993","3.40E+1","84.132","7.30E+1"
"110.0562","2.20E+1","86.0648","2.70E+1","84.3064","3.60E+1"
"110.0756","2.50E+1","86.0971","6.49E+2","85.0421","5.40E+1"
"110.5493","3.20E+1","87.054","5.00E+1","85.0532","3.00E+1"
"113.0724","2.20E+1","87.1072","2.30E+1","85.0676","4.90E+1"
"115.0472","7.30E+1","87.4981","2.80E+1","85.0864","2.51E+2"
