"mz_10eV","10eV","mz_30eV","30eV","mz_50eV","50eV"
"65.9674","2.70E+1","67.1498","2.10E+1","57.8285","2.40E+1"
"80.3396","3.10E+1","68.0549","2.50E+1","66.7995","2.50E+1"
"81.5533","2.60E+1","69.0708","2.20E+1","68.0509","2.50E+1"
"85.0299","4.70E+1","69.523","3.40E+1","68.7189","2.70E+1"
"87.5046","3.80E+1","70.0519","1.33E+2","69.0526","4.00E+1"
"89.3965","2.30E+1","70.0654","1.27E+3","69.07","9.20E+1"
"89.4214","3.40E+1","71.0733","5.40E+1","70.0433","1.74E+2"
"91.2819","2.00E+1","72.0781","2.20E+1","70.065","3.89E+3"
"93.0548","2.40E+1","72.5747","5.00E+1","70.0926","4.60E+1"
"95.6269","2.30E+1","73.3431","2.60E+1","70.1031","2.20E+1"
"97.5142","2.80E+1","74.0257","2.40E+1","70.1295","3.10E+1"
"110.8516","3.20E+1","74.1627","2.10E+1","70.5102","2.30E+1"
"110.8785","2.30E+1","75.4725","2.40E+1","71.054","4.36E+1"
"120.0865","9.60E+1","79.7703","2.80E+1","71.0678","1.32E+2"
"124.2377","2.50E+1","80.0572","2.40E+1","72.0792","2.10E+1"
"126.5396","3.30E+1","83.0526","2.20E+1","72.0893","3.30E+1"
"141.1023","5.90E+1","84.0465","2.11E+2","74.0262","9.40E+1"
"157.0774","2.10E+1","84.0811","9.50E+1","81.0354","2.50E+1"
"158.0909","2.40E+1","86.0668","2.10E+1","82.8111","3.90E+1"
"158.1399","2.20E+1","86.0773","3.40E+1","83.0624","1.69E+2"
"163.8132","2.70E+1","86.0983","1.76E+3","84.0469","6.87E+2"
"165.0257","2.70E+1","86.4277","2.30E+1","84.0827","1.42E+2"
"166.4144","2.20E+1","87.0582","2.61E+2","84.7995","2.30E+1"
"167.043","2.10E+1","87.1006","2.57E+2","85.0456","2.50E+1"
"169.0991","6.40E+1","87.848","3.00E+1","86.0557","2.40E+1"
"170.0545","2.10E+1","88.045","2.20E+1","86.0783","4.18E+1"
"172.0569","2.80E+1","96.951","2.10E+1","86.0971","1.64E+3"
"173.0881","2.20E+1","99.0435","3.40E+1","87.056","1.25E+2"
"178.6287","2.70E+1","99.0945","2.50E+1","87.0995","4.30E+1"
"181.0796","4.60E+1","101.0731","5.80E+2","88.0391","2.40E+1"
"181.8298","2.50E+1","102.0382","5.60E+1","88.9819","2.40E+1"
"185.1299","2.10E+1","102.059","5.90E+1","91.0528","5.70E+1"
"185.9825","2.10E+1","102.0732","2.10E+1","92.0572","2.90E+1"
"187.6456","2.20E+1","103.0534","2.30E+1","95.0193","3.40E+1"
"189.1263","4.80E+1","103.0882","2.10E+1","95.0536","5.00E+1"
"198.0629","2.20E+1","104.7306","2.00E+1","96.0657","2.90E+1"
"200.1077","2.10E+1","105.0666","2.80E+1","96.0758","2.10E+1"
"201.8286","2.30E+1","105.2231","2.50E+1","98.059","6.90E+1"
"203.0882","2.10E+1","108.3357","2.30E+1","98.0702","3.80E+1"
"208.0067","2.50E+1","108.9249","2.90E+1","99.0539","3.00E+1"
"213.0778","2.70E+1","110.0732","4.70E+1","99.0635","2.27E+1"
"217.1295","2.00E+1","112.0438","2.20E+1","99.4709","2.70E+1"
"218.1193","3.80E+1","112.0728","2.40E+1","101.0548","8.30E+1"
"219.1506","2.30E+1","112.0909","5.50E+1","101.0744","3.37E+2"
"219.9263","2.50E+1","112.112","2.90E+1","101.9256","6.20E+1"
"220.1574","6.80E+1","114.0911","7.10E+1","102.08","2.50E+1"
"221.0703","2.30E+1","114.9096","4.30E+1","102.508","3.50E+1"
"221.0946","2.70E+1","115.0894","8.90E+1","102.836","2.20E+1"
"221.1411","2.70E+1","116.0337","2.75E+2","104.0042","2.30E+1"
"225.2607","2.60E+1","116.0714","2.08E+2","104.0206","2.00E+1"
"225.3561","2.20E+1","116.122","2.80E+1","104.0622","3.60E+1"
"226.1214","3.50E+1","116.4222","2.20E+1","106.0716","2.40E+1"
"230.1124","8.35E+1","119.0494","2.00E+1","107.0493","2.70E+1"
"230.1325","2.48E+1","119.111","2.30E+1","108.0474","4.60E+1"
"230.5843","2.30E+1","120.081","8.91E+2","109.0308","2.20E+1"
"231.6739","2.60E+1","121.0695","1.21E+1","110.054","8.53E+1"
"234.0996","2.70E+1","121.0864","2.12E+2","110.0699","2.20E+1"
"237.0891","2.40E+1","121.5511","2.10E+1","110.0866","2.50E+1"
"238.5976","3.10E+1","122.0981","2.90E+1","111.0455","2.10E+1"
"242.1494","8.60E+1","123.0457","1.66E+2","111.06","2.10E+1"
"243.0835","2.50E+1","123.9868","2.70E+1","111.075","9.07E+1"
"245.0439","2.20E+1","124.0442","4.80E+1","111.0964","8.50E+1"
"246.0798","2.40E+1","124.0912","2.70E+1","111.9523","2.10E+1"
"247.1397","3.09E+2","124.7301","3.80E+1","112.0404","1.16E+2"
"248.1432","1.00E+2","125.0457","2.70E+1","112.0592","2.80E+1"
"250.9672","2.60E+1","125.0819","3.00E+1","112.324","2.20E+1"
"252.1397","2.10E+1","125.1062","2.20E+1","113.0667","2.40E+1"
"254.071","2.50E+1","125.1185","2.24E+1","113.0912","2.20E+1"
"255.8391","3.30E+1","126.0547","1.46E+2","113.1152","2.60E+1"
"258.492","6.00E+1","126.1073","2.20E+1","113.8727","2.80E+1"
"261.1754","1.10E+2","128.1131","2.20E+1","113.9821","2.10E+1"
"262.7185","2.30E+1","128.6016","2.40E+1","114.0796","3.70E+1"
"263.135","2.00E+1","128.8747","2.00E+1","114.0925","3.20E+1"
"263.4603","2.40E+1","129.0469","2.30E+1","114.1384","2.40E+1"
"265.1883","2.00E+1","129.0696","2.48E+2","115.0562","2.00E+1"
"268.9216","2.50E+1","129.1038","4.35E+2","116.0107","3.00E+1"
"269.1111","2.50E+1","130.0549","2.40E+1","116.041","1.35E+2"
"271.0753","8.10E+1","130.0729","4.90E+1","116.074","1.60E+2"
"271.1929","3.20E+1","130.0908","7.05E+1","116.9796","2.40E+1"
"275.1529","2.70E+1","130.1059","5.39E+1","117.0107","1.06E+2"
"276.1615","2.90E+1","131.086","2.40E+1","117.0367","2.10E+1"
"278.5464","2.30E+1","131.1187","1.17E+3","118.066","2.10E+1"
"278.8437","2.30E+1","131.5058","2.20E+1","119.0485","1.38E+2"
"279.107","2.10E+1","131.7818","2.20E+1","119.1382","2.20E+1"
"280.0908","2.40E+1","131.8979","4.40E+1","120.0831","1.25E+3"
"282.1682","4.70E+1","132.0943","4.70E+1","120.1338","3.50E+1"
"282.1926","2.10E+1","132.1246","6.30E+1","121.0882","3.82E+2"
"283.0751","2.00E+1","132.7983","3.20E+1","121.2172","3.00E+1"
"283.1254","2.10E+1","132.973","2.20E+1","121.9869","2.60E+1"
