"mz_10eV","10eV","mz_25eV","25eV","mz_45eV","45eV"
"50.0202","3.50E+1","51.4522","2.30E+1","60.0539","5.50E+1"
"50.4265","2.20E+1","55.912","6.00E+1","70.0552","2.60E+1"
"50.5665","2.50E+1","57.6492","2.90E+1","70.065","5.30E+1"
"50.767","2.50E+1","61.0376","3.40E+1","71.0531","4.90E+1"
"52.4032","2.10E+1","61.7525","2.00E+1","71.0698","2.20E+1"
"55.4047","2.70E+1","61.9431","2.50E+1","83.0408","2.30E+1"
"56.6334","2.10E+1","62.5675","2.30E+1","84.0804","5.69E+2"
"59.246","2.70E+1","63.6441","2.70E+1","85.0329","4.60E+1"
"59.9167","2.10E+1","66.6247","2.90E+1","86.0893","9.82E+1"
"61.9337","2.10E+1","68.6216","2.80E+1","86.098","1.16E+2"
"67.0305","3.10E+1","70.0667","2.90E+1","87.0553","4.40E+1"
"67.1202","2.40E+1","72.0813","4.60E+1","91.0564","2.10E+1"
"69.3117","3.00E+1","82.1872","2.20E+1","92.055","3.60E+1"
"69.3383","5.60E+1","84.0334","2.00E+1","94.0186","2.20E+1"
"71.624","2.70E+1","84.0444","3.60E+1","94.0617","5.10E+1"
"74.8322","3.20E+1","84.0822","2.53E+3","96.0831","8.00E+1"
"83.6883","3.70E+1","85.0842","1.05E+2","97.028","3.00E+1"
"84.0815","2.20E+1","85.2443","2.70E+1","98.0238","2.60E+1"
"84.2837","2.10E+1","86.0447","7.20E+1","99.8821","2.80E+1"
"84.6545","2.10E+1","86.0757","1.97E+1","102.0536","5.60E+1"
"85.945","2.20E+1","86.0871","1.27E+2","105.0475","2.70E+1"
"88.5279","3.80E+1","86.0967","2.90E+2","106.0634","2.40E+1"
"92.4039","2.40E+1","86.1677","7.70E+1","107.064","2.00E+1"
"93.1217","2.30E+1","86.2969","2.40E+1","108.0498","2.10E+1"
"95.2637","2.70E+1","86.8992","2.20E+1","110.0594","6.96E+1"
"96.6511","4.40E+1","87.1002","5.60E+1","110.0737","1.53E+2"
"96.9858","2.00E+1","87.8865","3.00E+1","111.0371","2.50E+1"
"97.0301","2.40E+1","87.9649","2.50E+1","111.0723","3.20E+1"
"99.0764","5.60E+1","88.0751","2.40E+1","111.9908","2.50E+1"
"99.9043","2.20E+1","88.0832","2.40E+1","112.0841","8.80E+1"
"99.9886","2.10E+1","88.4108","2.10E+1","113.0702","3.10E+1"
"105.7157","2.10E+1","90.1411","2.70E+1","114.0588","2.30E+1"
"106.8905","3.10E+1","94.204","2.80E+1","115.0893","1.88E+2"
"112.0512","2.00E+1","94.6341","3.30E+1","116.0705","1.88E+2"
"113.5112","5.20E+1","95.0896","4.00E+1","116.095","2.60E+1"
"113.5463","2.40E+1","95.8202","2.60E+1","118.0807","2.50E+1"
"116.4324","2.10E+1","97.5391","8.71E+1","118.9085","3.20E+1"
"117.988","2.10E+1","98.0998","2.70E+1","119.0775","3.50E+1"
"119.6532","4.50E+1","99.0575","2.40E+1","119.4154","3.20E+1"
"120.0857","2.20E+1","100.065","2.30E+1","120.0594","2.30E+1"
"124.736","3.00E+1","100.0793","1.70E+2","120.0815","1.04E+2"
"133.4281","2.00E+1","101.0821","2.20E+1","121.0809","2.40E+1"
"134.647","2.40E+1","101.113","2.20E+1","122.0256","2.20E+1"
"135.3317","2.00E+1","101.6922","2.10E+1","122.0611","5.70E+1"
"138.1998","2.10E+1","102.621","2.20E+1","122.0731","2.20E+1"
"138.7813","2.30E+1","103.0558","3.30E+1","123.0425","2.72E+1"
"145.097","9.40E+1","107.223","3.50E+1","123.0621","4.30E+1"
"145.7149","2.10E+1","108.0851","2.50E+1","123.0884","2.40E+1"
"146.0607","2.10E+1","108.5763","2.40E+1","124.076","2.00E+1"
