"mz_10eV","10eV","mz_30eV","30eV","mz_50eV","50eV"
"55.4158","2.60E+1","77.2419","3.90E+1","72.0824","2.40E+1"
"58.5262","4.60E+1","83.0627","2.70E+1","74.059","2.60E+1"
"72.3684","2.30E+1","84.0824","2.80E+1","83.0605","3.60E+1"
"74.8244","2.10E+1","86.0997","4.20E+1","84.0869","8.90E+1"
"74.9352","2.10E+1","87.0569","2.10E+1","86.0773","2.30E+1"
"102.6446","2.60E+1","88.046","2.60E+1","86.1033","4.60E+1"
"110.6661","2.10E+1","91.0387","3.20E+1","96.0483","4.40E+1"
"138.9413","2.10E+1","100.9741","2.90E+1","97.0341","2.90E+1"
"139.0445","2.10E+1","112.0943","1.09E+2","109.0277","4.80E+1"
"180.1455","2.40E+1","113.0687","2.30E+1","110.0469","2.30E+1"
"187.0578","2.10E+1","114.0559","8.50E+1","110.0562","2.20E+1"
"190.091","2.00E+1","116.0693","3.10E+1","110.0764","6.70E+1"
"190.7114","2.60E+1","118.0889","7.00E+1","111.0597","2.90E+1"
"195.4678","2.00E+1","120.0815","1.99E+2","112.0761","2.20E+1"
"203.3044","2.10E+1","120.2472","2.20E+1","112.0916","4.50E+1"
"204.6702","2.10E+1","123.0364","2.00E+1","114.0953","2.10E+1"
"218.2769","2.70E+1","125.0772","2.20E+1","115.0508","3.50E+1"
"228.73","2.20E+1","127.0483","4.70E+1","119.668","2.10E+1"
"241.1324","3.30E+1","127.1202","2.50E+1","120.0386","2.10E+1"
"247.1295","2.10E+1","129.0648","2.80E+1","120.08","2.65E+2"
"248.128","3.20E+1","129.1093","1.06E+2","123.0665","2.20E+1"
"254.1065","2.20E+1","131.0518","2.40E+1","124.0748","2.10E+1"
"269.497","2.40E+1","131.0676","1.92E+1","125.0341","4.40E+1"
"270.9177","2.40E+1","131.0822","6.60E+1","126.0951","3.40E+1"
"285.1564","2.30E+1","132.0775","2.50E+1","127.0424","3.20E+1"
"295.165","4.60E+1","133.0939","4.90E+1","127.0948","2.90E+1"
"304.1091","1.13E+2","136.0775","4.80E+1","128.0533","1.60E+2"
"305.0117","2.00E+1","140.1148","5.70E+1","129.0568","2.55E+1"
"307.1105","2.40E+1","141.0709","2.60E+1","129.0664","5.61E+1"
"314.9207","2.00E+1","141.1051","2.10E+1","129.0915","4.02E+1"
"315.088","2.50E+1","141.1148","2.10E+1","129.1078","3.28E+2"
"316.1384","4.80E+1","143.1204","2.20E+1","130.0456","2.30E+1"
"316.2329","2.80E+1","147.0771","2.01E+2","130.0764","2.38E+1"
"317.1382","2.60E+1","148.0833","3.30E+1","130.0919","9.00E+1"
"320.1055","2.20E+1","149.0735","2.30E+1","131.0187","1.18E+2"
"322.231","2.40E+1","153.0715","2.10E+1","131.0909","3.40E+1"
"322.752","2.40E+1","155.0997","2.10E+1","131.1031","2.10E+1"
"329.2029","2.90E+1","157.0524","2.00E+1","131.9942","3.30E+1"
