"mz_10eV","10eV","mz_15eV","15eV","mz_35eV","35eV"
"52.3885","3.50E+1","50.3632","2.20E+1","55.0537","2.20E+1"
"60.038","2.70E+1","58.0623","2.40E+1","56.0531","2.10E+1"
"69.0434","2.20E+1","68.0477","2.80E+1","56.4323","3.10E+1"
"70.0611","1.99E+1","69.0332","3.10E+1","66.5334","2.50E+1"
"70.0706","4.01E+1","69.0676","2.30E+1","68.0497","9.50E+1"
"72.0808","4.70E+1","70.0382","2.50E+1","69.0717","2.60E+1"
"83.0594","2.50E+1","70.0655","7.41E+2","70.0508","1.99E+1"
"84.0428","1.12E+2","71.0698","2.70E+1","70.0657","8.10E+2"
"86.0564","2.70E+1","71.1408","5.40E+1","70.097","4.90E+1"
"86.0782","2.20E+1","72.0642","2.20E+1","71.0164","2.70E+1"
"86.0974","3.28E+3","72.0814","3.27E+2","72.0574","2.20E+1"
"87.0994","9.70E+1","73.0828","3.50E+1","72.0838","5.10E+1"
"90.0545","2.60E+1","74.0557","2.50E+1","75.5182","2.00E+1"
"91.058","2.40E+1","74.0646","3.00E+1","77.0277","3.50E+1"
"95.0531","2.00E+1","76.0976","2.30E+1","77.0424","2.10E+1"
"98.058","2.20E+1","81.0308","4.50E+1","79.0206","2.70E+1"
"98.0694","2.10E+1","83.3713","2.40E+1","82.0738","5.50E+1"
"99.0442","2.30E+1","84.0254","3.00E+1","83.0265","2.40E+1"
"101.0751","2.40E+1","84.0471","2.97E+2","84.0447","1.98E+2"
"102.0572","6.80E+1","84.0814","5.81E+2","84.0819","1.36E+3"
"103.0518","2.00E+1","84.8395","2.10E+1","84.8523","5.70E+1"
"104.0607","2.50E+1","85.0324","2.90E+1","85.0469","3.30E+1"
"106.0308","2.70E+1","85.0472","6.10E+1","85.0872","5.30E+1"
"106.0522","2.20E+1","86.0263","2.90E+1","86.0978","5.18E+2"
"108.0545","2.00E+1","86.0554","5.90E+1","86.9898","2.00E+1"
"110.0611","2.10E+1","86.0976","4.91E+3","91.0566","5.94E+2"
"110.0736","4.50E+1","86.5383","2.10E+1","93.0438","3.70E+1"
"111.075","2.20E+1","87.054","5.40E+1","94.0592","2.30E+1"
"112.0872","2.60E+1","87.0644","4.63E+1","94.0698","2.34E+1"
"114.0483","2.50E+1","87.1013","2.53E+2","95.0491","9.98E+1"
"114.0954","3.60E+1","87.4945","5.00E+1","95.0635","5.34E+1"
"115.0874","2.20E+1","88.0346","5.50E+1","95.5165","2.20E+1"
"115.5133","4.00E+1","90.0566","1.15E+2","96.0372","1.00E+2"
"116.0382","2.30E+1","91.0209","3.50E+1","96.0467","1.20E+2"
"116.0756","1.43E+2","91.055","1.04E+2","96.076","1.03E+1"
"118.0892","7.50E+1","95.0546","2.10E+1","96.0856","8.07E+1"
"119.0378","5.86E+1","96.9983","2.30E+1","96.5938","2.50E+1"
"119.0494","1.94E+1","97.0795","2.00E+1","96.9741","2.30E+1"
"119.5249","2.40E+1","98.0582","2.40E+1","97.0636","2.40E+1"
"120.062","9.51E+1","98.086","2.10E+1","97.0753","2.40E+1"
"120.0832","8.60E+2","99.08","2.30E+1","98.0268","4.50E+1"
"121.0798","2.00E+1","99.099","8.10E+1","98.0621","2.60E+1"
"123.0354","2.30E+1","99.3553","2.30E+1","99.0116","2.40E+1"
"123.0507","5.60E+1","99.9446","5.60E+1","99.0311","3.20E+1"
"123.2017","4.40E+1","100.0765","7.00E+1","99.0577","6.40E+1"
"125.036","9.30E+1","100.0902","4.70E+1","99.0869","2.30E+1"
"125.0834","3.20E+1","101.0357","2.30E+1","99.9407","2.20E+1"
"125.4052","3.70E+1","101.1101","2.30E+1","100.0771","5.50E+1"
"127.0411","1.05E+2","102.0404","4.60E+1","101.1078","4.70E+1"
"127.7647","3.00E+1","102.0584","1.54E+2","102.0386","2.60E+1"
"128.0241","2.50E+1","102.1087","4.90E+1","102.0561","4.30E+1"
"128.04","2.80E+1","102.75","3.20E+1","103.0542","4.89E+2"
"128.8334","2.00E+1","103.0563","6.40E+1","105.0657","4.30E+1"
"129.0426","2.00E+1","103.249","2.20E+1","106.0611","5.00E+1"
"129.1036","8.37E+2","103.5815","4.10E+1","106.0766","2.50E+1"
"130.0549","1.57E+2","105.0558","3.00E+1","107.0384","1.86E+1"
"130.0772","2.80E+1","105.0751","3.20E+1","107.0528","9.90E+1"
"130.0984","2.22E+1","106.0504","1.47E+2","107.0778","2.40E+1"
"130.1123","7.08E+1","106.0679","2.10E+1","108.0348","3.90E+1"
"131.077","4.80E+1","107.0557","1.87E+2","108.053","2.60E+1"
"131.1226","4.90E+1","108.0456","2.70E+1","109.0428","2.30E+1"
"132.0511","2.70E+1","108.0814","3.50E+1","109.0598","2.80E+1"
"132.0829","4.23E+1","108.9957","3.30E+1","109.973","4.70E+1"
"132.1038","3.59E+2","109.9921","2.80E+1","110.027","4.40E+1"
"133.0574","5.23E+1","110.0741","3.91E+2","110.0547","2.90E+1"
"133.066","1.87E+1","111.1002","4.40E+1","110.0727","3.57E+2"
"133.1089","2.90E+1","112.0433","2.50E+1","110.0938","2.00E+1"
"134.045","2.68E+2","112.0609","2.00E+1","111.0594","3.00E+1"
"135.0564","3.60E+1","112.0864","1.18E+2","111.0774","1.04E+2"
"136.0779","9.81E+2","112.1034","1.95E+2","111.0943","1.40E+2"
"136.1409","2.70E+1","113.0855","2.00E+1","112.0379","5.40E+1"
"136.5728","2.40E+1","114.086","2.10E+1","112.0863","1.48E+2"
"137.0807","1.26E+2","114.1045","5.70E+1","113.115","2.30E+1"
"143.115","1.20E+2","116.0362","1.24E+2","113.6551","3.50E+1"
"143.4265","4.50E+1","116.073","1.24E+2","113.9518","2.00E+1"
"143.9758","2.70E+1","116.3775","2.90E+1","114.981","2.60E+1"
"143.9982","2.40E+1","116.9689","5.80E+1","115.0533","1.65E+2"
"144.1142","2.20E+1","117.0649","4.12E+1","115.0842","2.20E+1"
"144.129","2.20E+1","117.0758","1.88E+1","116.0315","2.60E+1"
"145.0591","1.29E+2","118.0708","3.50E+1","116.0519","4.30E+1"
"145.0699","2.70E+1","118.0847","4.30E+1","116.072","2.50E+1"
"145.1031","2.80E+1","119.0532","3.35E+2","116.1011","2.00E+1"
"146.044","3.10E+1","119.0908","2.30E+1","117.0579","7.00E+1"
"147.0458","2.40E+1","120.0287","5.50E+1","118.0429","1.02E+2"
"147.0787","3.20E+2","120.0407","2.50E+1","119.0523","3.58E+2"
"147.1161","4.80E+1","120.0577","3.30E+1","119.0712","2.30E+1"
"148.0479","2.40E+1","120.0822","2.76E+3","120.0464","2.50E+1"
"148.0649","1.07E+2","120.1259","3.20E+1","120.0833","8.51E+2"
"148.1102","2.20E+1","120.1454","5.80E+1","120.9562","2.10E+1"
"149.062","7.30E+1","121.0873","3.86E+2","121.0508","2.90E+1"
"149.6068","2.00E+1","122.077","2.50E+1","121.0816","1.62E+2"
"150.0488","3.40E+1","122.0881","2.25E+1","121.1408","2.20E+1"
"151.0268","2.50E+1","123.0463","2.47E+2","121.9751","2.30E+1"
"151.0682","2.20E+1","123.9394","2.60E+1","122.0662","6.39E+1"
"152.3829","3.20E+1","124.0481","5.20E+1","122.0985","4.30E+1"
"152.56","2.80E+1","124.0816","2.00E+1","122.9911","2.00E+1"
"153.0743","2.10E+1","124.1079","2.60E+1","123.0372","3.42E+1"
"153.0941","2.40E+1","124.1239","2.40E+1","123.0511","3.49E+2"
"153.9998","2.30E+1","124.9796","3.30E+1","123.972","2.30E+1"
"155.0706","2.40E+1","125.0652","2.80E+1","124.0499","6.10E+1"
"155.1234","4.20E+1","125.1109","5.30E+1","124.0707","3.90E+1"
"155.1619","2.70E+1","126.0507","2.98E+2","124.0957","2.30E+1"
"156.0804","1.27E+2","126.0798","6.10E+1","124.1227","4.10E+1"
"156.1504","2.10E+1","126.0936","6.03E+1","124.9318","3.00E+1"
"157.0964","1.01E+2","126.3465","6.60E+1","124.9505","4.80E+1"
"157.1359","1.68E+2","126.6292","4.60E+1","125.0227","2.30E+1"
"158.1134","6.60E+1","127.0521","2.40E+1","125.0364","2.40E+1"
"159.0804","5.70E+1","127.102","4.50E+1","125.0747","8.45E+1"
"159.11","8.00E+1","128.0706","5.70E+1","125.087","2.25E+1"
"160.1222","4.80E+1","128.7795","2.30E+1","125.3427","2.50E+1"
"161.0906","4.70E+1","129.0062","2.40E+1","126.0587","5.30E+1"
"161.8698","2.40E+1","129.0338","2.60E+1","126.0779","2.10E+1"
"163.0406","2.50E+1","129.0727","2.62E+2","126.0937","2.19E+2"
"163.9915","2.20E+1","129.1039","9.36E+3","127.0533","5.50E+1"
"164.0487","2.20E+1","129.1292","2.56E+1","127.9744","2.32E+1"
"165.0562","7.12E+2","129.194","2.50E+1","127.9805","2.24E+1"
"165.0817","2.70E+1","130.0518","6.07E+2","127.9871","2.29E+1"
"166.0535","7.40E+1","130.0853","1.38E+2","128.0424","2.10E+1"
"166.0874","1.09E+3","130.1053","8.93E+2","129.1045","9.52E+2"
"166.1176","6.50E+1","130.8009","2.00E+1","130.0672","1.83E+2"
"167.0904","1.10E+2","131.0438","2.30E+1","130.0991","2.50E+1"
"168.0588","4.30E+1","131.063","8.20E+1","131.0461","2.42E+1"
"168.095","2.50E+1","132.0619","3.90E+1","131.0559","7.75E+1"
"168.1199","2.10E+1","132.0833","4.90E+1","131.071","3.40E+1"
"168.1376","2.10E+1","132.1026","2.43E+2","131.5345","2.10E+1"
"168.1839","3.90E+1","132.5994","3.30E+1","132.0793","7.10E+1"
