"mz_10eV","10eV","mz_20eV","20eV","mz_40eV","40eV"
"57.4688","2.60E+1","53.7292","2.30E+1","56.0493","2.10E+1"
"60.7683","4.90E+1","54.2594","2.60E+1","56.6541","3.50E+1"
"72.7035","9.00E+1","58.0669","2.30E+1","58.0579","3.10E+1"
"73.0723","2.50E+1","61.6698","2.10E+1","67.0363","2.30E+1"
"74.5544","5.10E+1","62.8236","2.60E+1","68.0463","2.10E+1"
"90.3616","2.30E+1","70.0589","2.55E+1","69.032","6.40E+1"
"94.8222","2.30E+1","70.0657","4.85E+1","69.0745","2.40E+1"
"96.407","2.00E+1","71.0675","2.10E+1","70.0303","1.88E+1"
"101.0631","4.70E+1","72.0646","2.90E+1","70.0388","2.40E+1"
"102.24","3.90E+1","72.078","2.80E+1","70.0659","8.26E+2"
"102.4451","2.00E+1","72.0878","4.00E+1","70.0774","1.55E+2"
"104.0786","2.50E+1","74.0111","2.30E+1","71.0689","9.80E+1"
"110.1014","1.14E+2","74.0606","7.20E+1","72.0816","4.08E+2"
"116.0602","3.20E+1","76.3326","2.60E+1","74.0237","5.50E+1"
"116.0761","7.70E+1","76.5121","2.20E+1","74.031","1.68E+1"
"118.0862","2.40E+1","78.7911","2.90E+1","74.0627","2.50E+1"
"118.1375","2.10E+1","78.8843","2.50E+1","75.0286","2.60E+1"
"120.0701","2.20E+1","82.0658","2.10E+1","75.0655","3.00E+1"
"120.0803","2.00E+1","84.0462","5.90E+1","77.0182","2.20E+1"
"120.9003","2.20E+1","84.0803","1.21E+2","78.0197","2.30E+1"
"124.0565","2.10E+1","85.0454","2.50E+1","78.026","2.20E+1"
"124.6588","3.70E+1","85.9417","2.10E+1","80.0494","9.50E+1"
"130.0876","9.70E+1","86.097","6.09E+2","81.0054","4.80E+1"
"132.0982","2.30E+1","87.0547","4.90E+1","81.0361","6.60E+1"
"133.066","6.10E+1","87.0989","1.07E+2","81.0523","2.10E+1"
"133.089","2.40E+1","87.3411","2.30E+1","81.0712","4.50E+1"
"135.0897","2.00E+1","88.0362","2.10E+1","82.0354","2.30E+1"
"136.0693","7.50E+1","88.0437","4.40E+1","82.2901","2.40E+1"
"138.0567","3.20E+1","88.1062","2.20E+1","82.3706","2.10E+1"
"138.093","2.00E+1","91.0574","2.20E+1","83.0388","3.10E+1"
"139.0455","2.40E+1","93.0761","2.30E+1","83.071","1.12E+2"
"139.123","2.30E+1","94.0592","2.20E+1","84.0459","4.12E+2"
"139.7278","3.70E+1","95.0568","3.20E+1","84.072","1.15E+2"
"144.0661","2.10E+1","97.034","6.06E+1","84.083","7.40E+2"
"144.108","6.20E+1","97.0503","6.50E+1","85.0304","4.43E+1"
"145.5289","2.40E+1","97.0688","2.50E+1","85.0425","1.63E+2"
