"Low","low","Med","med","High","high"
"81.037788391113","1","200.08644104004","7","234.95431518555","13"
"84.048568725586","1","203.00224304199","7","236.7922668457","13"
"84.072952270508","1","205.96849060059","7","237.03787231445","13"
"120.07311248779","1","209.07751464844","7","238.83020019531","13"
"121.09296417236","1","211.02543640137","7","240.03939819336","13"
"125.8205871582","1","219.03150939941","7","245.09565734863","13"
"126.09150695801","1","229.98880004883","7","250.58335876465","13"
"126.99588775635","1","230.06636047363","7","252.81951904297","13"
"127.06044769287","1","235.81741333008","7","254.11248779297","13"
"140.97863769531","1","238.82388305664","7","254.16793823242","13"
"142.96517944336","1","254.07009887695","7","273.4967956543","13"
"143.09240722656","1","254.81083679199","7","280.17819213867","13"
"147.05934143066","1","255.0558013916","7","281.02462768555","13"
"158.11042785645","1","257.12805175781","7","286.91943359375","13"
"159.0584564209","1","269.96951293945","7","290.49963378906","13"
"160.04553222656","1","273.50018310547","7","290.72280883789","13"
"164.07420349121","1","276.96530151367","7","293.48840332031","13"
"168.11581420898","1","279.06985473633","7","293.80389404297","13"
"170.98463439941","1","290.50311279297","7","361.11444091797","13"
"173.06671142578","1","291.06475830078","7","364.03198242188","13"
"177.09985351562","1","303.10540771484","7","396.89996337891","13"
"183.11207580566","1","306.19757080078","7","417.07522583008","13"
"188.01654052734","1","307.96127319336","7","418.2834777832","13"
"189.04740905762","1","317.92373657227","7","429.18560791016","13"
"190.94793701172","1","337.10263061523","7","525.17700195312","13"
"191.08929443359","1","341.06927490234","7","597.17205810547","13"
"192.12002563477","1","343.91625976562","7","933.51879882812","13"
"193.11373901367","1","354.08163452148","7","98.025344848633","14"
"201.85838317871","1","361.11053466797","7","103.0524520874","14"
"204.01782226562","1","374.07672119141","7","119.07542419434","14"
"204.08210754395","1","377.05401611328","7","120.07534790039","14"
"205.07695007324","1","416.05645751953","7","126.97514343262","14"
"207.99630737305","1","525.23327636719","7","130.97799682617","14"
"213.98667907715","1","525.24261474609","7","137.07598876953","14"
"221.96286010742","1","599.90466308594","7","139.03735351562","14"
"226.98625183105","1","671.44512939453","7","144.04100036621","14"
"227.99520874023","1","679.37725830078","7","158.10784912109","14"
"229.09619140625","1","743.62438964844","7","161.1005859375","14"
"229.17050170898","1","891.28045654297","7","163.11393737793","14"
"230.08808898926","1","69.034652709961","8","165.02151489258","14"
"234.96058654785","1","119.07765197754","8","165.07934570312","14"
"236.96229553223","1","121.02094268799","8","170.9873046875","14"
"238.0594329834","1","131.02247619629","8","175.08560180664","14"
"240.0330657959","1","137.07359313965","8","181.09959411621","14"
"245.93867492676","1","139.04699707031","8","188.01934814453","14"
"245.94509887695","1","140.99807739258","8","188.02215576172","14"
"247.9382019043","1","143.06059265137","8","190.08671569824","14"
"254.11575317383","1","147.04444885254","8","209.95993041992","14"
"254.71287536621","1","149.0281829834","8","210.86499023438","14"
"265.80432128906","1","183.03733825684","8","213.98368835449","14"
"266.99298095703","1","188.14559936523","8","217.06799316406","14"
"269.08624267578","1","193.96751403809","8","218.11511230469","14"
"271.0461730957","1","197.87313842773","8","219.03453063965","14"
"273.060546875","1","199.95913696289","8","219.41314697266","14"
"279.79483032227","1","200.08065795898","8","221.96894836426","14"
"281.81048583984","1","215.05033874512","8","226.07180786133","14"
