"mz_10eV","10 ev","mz_25eV","25 ev","mz_40eV","40 ev"
"598.1657","2.400e1","404.1983","2.869e0","390.9621","2.400e1"
"599.4166","2.000e1","404.2556","2.414e1","391.0430","2.200e1"
"601.1700","2.300e1","404.6662","4.500e1","391.0554","4.633e1"
"602.1383","2.100e1","404.7882","2.100e1","391.0677","2.372e1"
"603.0618","2.100e1","404.8646","2.100e1","391.0872","3.700e1"
"603.6641","3.700e1","404.9831","2.200e1","391.1533","5.800e1"
"604.3574","2.800e1","405.1179","2.500e1","391.2059","5.100e1"
"605.3231","2.700e1","405.1886","2.585e0","392.0834","2.100e1"
"607.4031","2.100e1","405.5592","2.200e1","392.1501","4.400e1"
"607.8520","2.100e1","405.6946","3.400e1","393.1393","2.300e1"
"608.3185","2.700e1","405.9877","2.200e1","393.6811","3.900e1"
"609.6910","2.800e1","406.0596","2.000e1","394.0653","3.500e1"
"611.4819","2.100e1","406.1471","1.910e1","394.1504","2.200e1"
"612.9562","2.800e1","406.1960","5.585e0","395.1024","2.400e1"
"614.7178","2.200e1","406.7265","4.000e1","395.1645","2.400e1"
"615.7315","2.500e1","407.0418","2.200e1","396.2285","2.300e1"
"616.2664","2.200e1","407.1124","4.300e1","397.2049","2.200e1"
"616.5827","2.100e1","407.1643","1.897e1","398.0834","2.200e1"
"616.6420","2.700e1","407.2285","3.013e3","398.1537","3.700e1"
"617.7960","2.700e1","407.3864","7.414e1","398.2668","3.000e1"
"619.3412","2.100e1","407.4098","2.300e1","399.1702","2.300e1"
"620.1522","2.200e1","407.7551","2.300e1","400.1101","4.800e1"
"620.3381","4.400e1","407.8398","3.500e1","400.1400","2.100e1"
"621.2220","3.400e1","408.1505","1.873e1","400.1973","2.800e1"
"621.8235","2.100e1","408.2255","1.037e3","400.2880","3.300e1"
"623.0393","5.900e1","408.8479","4.400e1","400.4103","2.900e1"
"623.5943","3.300e1","408.9803","2.700e1","401.1926","2.200e1"
"624.0220","2.500e1","409.1818","7.260e1","401.2227","2.000e1"
"625.9348","3.500e1","409.2310","7.904e1","402.1366","2.200e1"
"626.1586","2.100e1","409.2516","6.101e1","402.2993","4.400e1"
"626.3199","2.200e1","409.2816","2.200e1","402.9997","3.500e1"
"627.3998","4.800e1","410.1096","2.400e1","403.0841","2.700e1"
"628.3142","3.300e1","410.1864","1.617e1","403.1151","5.900e1"
"629.2643","2.500e1","410.2040","1.660e1","403.6420","2.200e1"
"630.1819","2.100e1","410.2172","1.145e1","404.1288","2.200e1"
"631.4274","2.100e1","410.2366","3.605e1","404.1749","6.600e1"
"632.2378","3.500e1","410.2765","1.200e2","404.7888","2.200e1"
"632.4200","2.700e1","410.7003","9.200e1","405.0906","2.000e1"
"633.2033","2.100e1","411.0692","4.800e1","405.2073","3.200e1"
"634.2961","2.400e1","411.1712","2.378e1","405.2646","2.100e1"
