"mz_10eV","10eV","mz_20eV","20eV","mz_40eV","40eV"
"51.6532","2.70E+1","51.6532","2.70E+1","53.1941","0.00E+0"
"52.1373","2.30E+1","52.1373","2.30E+1","53.1956","8.00E+0"
"55.0546","2.40E+1","55.0546","2.40E+1","53.1971","1.00E+1"
"64.1854","2.40E+1","64.1854","2.40E+1","53.1986","3.00E+0"
"69.0315","2.30E+1","69.0315","2.30E+1","53.2001","0.00E+0"
"70.0433","2.90E+1","70.0433","2.90E+1","55.0163","0.00E+0"
"72.0449","2.60E+1","72.0449","2.60E+1","55.0178","9.00E+0"
"72.0825","9.40E+1","72.0825","9.40E+1","55.0193","1.70E+1"
"79.7488","2.50E+1","79.7488","2.50E+1","55.0208","1.00E+0"
"83.7815","2.20E+1","83.7815","2.20E+1","55.0224","0.00E+0"
"86.0345","9.50E+1","86.0345","9.50E+1","60.0439","0.00E+0"
"86.0617","6.44E+2","86.0617","6.44E+2","60.0455","1.00E+1"
"86.0909","1.05E+2","86.0909","1.05E+2","60.0471","1.10E+1"
"86.1034","2.50E+1","86.1034","2.50E+1","60.0487","2.00E+0"
"87.0192","2.00E+1","87.0192","2.00E+1","60.0503","0.00E+0"
"87.0455","1.46E+3","87.0455","1.46E+3","63.152","0.00E+0"
"87.0626","9.69E+1","87.0626","9.69E+1","63.1537","1.00E+0"
"87.1103","6.10E+1","87.1103","6.10E+1","63.1553","1.20E+1"
"87.4054","4.80E+1","87.4054","4.80E+1","63.1569","2.00E+1"
"87.7602","3.00E+1","87.7602","3.00E+1","63.1585","0.00E+0"
"88.0487","2.40E+1","88.0487","2.40E+1","65.2401","0.00E+0"
"88.0616","2.80E+1","88.0616","2.80E+1","65.2418","1.10E+1"
"89.2322","2.50E+1","89.2322","2.50E+1","65.2434","9.00E+0"
"95.0027","2.30E+1","95.0027","2.30E+1","65.2451","0.00E+0"
"96.8534","2.90E+1","96.8534","2.90E+1","67.0385","0.00E+0"
"97.4867","2.20E+1","97.4867","2.20E+1","67.0402","6.00E+0"
"98.2505","3.20E+1","98.2505","3.20E+1","67.0419","1.10E+1"
"102.057","3.00E+1","102.057","3.00E+1","67.0436","3.00E+0"
"104.0096","2.30E+1","104.0096","2.30E+1","67.0452","0.00E+0"
"104.035","7.30E+1","104.035","7.30E+1","67.0553","0.00E+0"
"104.0719","2.53E+4","104.0719","2.53E+4","67.057","1.40E+1"
"104.0982","5.30E+1","104.0982","5.30E+1","67.0586","2.40E+1"
"104.143","3.90E+1","104.143","3.90E+1","67.0603","1.10E+1"
"104.6048","3.00E+1","104.6048","3.00E+1","67.062","1.00E+0"
"104.7558","2.30E+1","104.7558","2.30E+1","67.0637","0.00E+0"
"105.0777","1.00E+3","105.0777","1.00E+3","67.0905","0.00E+0"
"108.4814","2.50E+1","108.4814","2.50E+1","67.0921","5.00E+0"
"109.6073","2.40E+1","109.6073","2.40E+1","67.0938","1.50E+1"
"109.9085","2.30E+1","109.9085","2.30E+1","67.0955","6.00E+0"
"111.0811","3.10E+1","111.0811","3.10E+1","67.0972","0.00E+0"
"115.0856","2.70E+1","115.0856","2.70E+1","68.0523","0.00E+0"
"116.0751","5.30E+1","116.0751","5.30E+1","68.054","5.00E+0"
"118.6386","2.20E+1","118.6386","2.20E+1","68.0557","1.10E+1"
"120.0541","2.00E+1","120.0541","2.00E+1","68.0574","5.00E+0"
"120.0693","5.90E+1","120.0693","5.90E+1","68.0591","0.00E+0"
"120.0868","2.20E+1","120.0868","2.20E+1","68.5189","0.00E+0"
