"mz_10eV","10eV","mz_15eV","15eV","mz_35eV","35eV"
"55.0499","2.30E+1","55.0543","5.50E+1","55.0509","4.60E+1"
"56.0146","2.90E+1","56.0356","2.20E+1","56.0253","1.05E+2"
"56.0549","2.10E+1","56.0453","2.20E+1","56.0394","3.60E+1"
"57.0489","2.00E+1","56.0569","4.20E+1","60.0503","2.00E+1"
"57.0557","2.60E+1","57.0319","5.30E+1","61.0126","2.10E+1"
"58.0588","2.20E+1","57.0524","2.00E+1","61.8264","2.10E+1"
"59.0317","2.00E+1","58.0579","2.10E+1","62.3666","2.10E+1"
"61.0103","2.10E+1","59.0481","5.30E+1","65.0355","2.30E+1"
"69.0404","2.30E+1","60.048","2.80E+1","68.0499","2.20E+1"
"69.4791","2.30E+1","63.8242","6.90E+1","68.5859","2.30E+1"
"70.0656","4.54E+2","67.2902","3.10E+1","68.9401","2.60E+1"
"70.6474","5.50E+1","70.0453","2.80E+1","70.0641","2.93E+2"
"71.0766","3.90E+1","70.0654","2.57E+2","71.0686","3.40E+1"
"72.0624","5.30E+1","71.0693","4.90E+1","72.0796","2.99E+2"
"72.0808","2.70E+3","72.0805","2.93E+3","72.9337","2.60E+1"
"72.2174","2.00E+1","72.0998","3.90E+1","73.9728","2.20E+1"
"73.0846","1.44E+2","72.241","2.60E+1","74.0575","1.33E+2"
"74.0238","4.60E+1","73.0585","2.20E+1","77.0404","1.06E+2"
"74.0592","5.18E+2","73.08","2.20E+1","79.0538","2.10E+1"
"75.0396","3.60E+1","73.5829","2.20E+1","80.0561","2.90E+1"
"75.0636","2.10E+1","74.018","2.80E+1","82.0659","1.05E+2"
"82.4135","1.22E+2","74.0437","3.39E+1","82.0736","7.54E+0"
"82.9563","2.70E+1","74.0595","1.15E+3","82.9613","2.20E+1"
"83.3757","2.00E+1","74.3603","3.80E+1","83.0634","2.40E+1"
"84.0238","1.97E+1","75.0632","7.20E+1","83.5265","2.60E+1"
"84.0303","2.79E+1","79.2308","2.20E+1","84.0437","7.20E+1"
"84.0456","2.59E+2","82.6691","2.80E+1","84.0742","5.81E+1"
"84.0799","1.13E+2","84.0192","2.10E+1","84.0831","1.44E+2"
"84.1373","2.40E+1","84.0435","2.68E+2","84.9532","5.40E+1"
"84.4989","2.10E+1","84.0761","2.10E+1","85.0693","4.00E+1"
"85.029","2.10E+1","84.0848","4.80E+1","91.0547","5.75E+2"
"85.0757","2.60E+1","85.0289","5.72E+1","92.0569","4.10E+1"
"85.9429","3.90E+1","85.0466","2.46E+1","93.0426","2.70E+1"
"86.0669","2.70E+1","85.0856","4.10E+1","93.0723","1.24E+2"
"86.0985","4.65E+2","86.0943","1.45E+2","94.042","2.70E+1"
"86.9283","2.60E+1","86.1009","2.39E+1","94.9745","3.90E+1"
"87.0953","5.00E+1","87.0307","3.20E+1","97.068","2.60E+1"
"87.3181","2.80E+1","87.0569","6.10E+1","97.943","5.60E+1"
"87.8109","2.20E+1","87.0809","2.00E+1","97.971","2.50E+1"
"87.9146","2.60E+1","88.0459","2.80E+1","98.0627","2.30E+1"
"88.0409","2.30E+1","88.9932","3.40E+1","98.9076","2.20E+1"
"91.0566","2.50E+1","91.0567","1.09E+2","98.9752","1.46E+2"
"91.8844","2.20E+1","92.5299","2.10E+1","100.928","2.30E+1"
"95.0857","2.10E+1","94.4101","2.30E+1","102.0513","2.40E+1"
"95.3821","2.70E+1","96.0425","2.50E+1","102.6415","4.00E+1"
"96.0814","2.10E+1","96.9595","2.10E+1","103.0541","6.28E+2"
"96.9599","2.30E+1","97.033","5.30E+1","104.0637","2.50E+1"
"97.0534","2.10E+1","97.1064","2.90E+1","105.0733","5.10E+1"
"97.0781","2.20E+1","97.2233","2.20E+1","105.9816","3.70E+1"
"98.9712","2.00E+1","98.0623","4.20E+1","106.0619","2.10E+1"
"99.0481","2.20E+1","98.705","3.20E+1","107.0408","6.80E+1"
"99.5074","3.50E+1","99.0491","8.08E+1","107.0542","7.56E+1"
"100.0366","2.10E+1","100.0767","2.70E+1","109.0465","2.20E+1"
"100.0739","2.10E+1","100.1354","2.60E+1","110.0202","4.70E+1"
"100.4614","3.10E+1","100.2859","2.10E+1","110.0564","2.70E+1"
"101.0704","2.30E+1","101.0307","2.30E+1","110.0746","7.70E+1"
"101.5271","3.90E+1","101.0656","2.40E+1","110.1065","3.70E+1"
"101.6273","2.10E+1","102.0559","3.77E+2","110.9776","4.50E+1"
"101.9378","2.80E+1","102.0918","8.90E+1","110.9894","2.00E+1"
"102.0475","2.11E+1","103.0421","3.30E+1","112.0877","2.10E+1"
"102.0566","1.05E+2","103.0999","4.30E+1","112.8981","2.60E+1"
"102.0828","5.00E+1","104.0539","2.00E+2","113.0056","9.90E+1"
"102.8556","3.40E+1","104.6527","2.20E+1","113.0695","6.80E+1"
"103.0562","6.00E+1","105.0587","4.40E+1","113.1048","2.40E+1"
"104.0298","2.30E+1","105.0713","2.86E+1","113.9678","5.50E+1"
"104.0542","4.94E+2","107.052","2.05E+2","115.0557","2.06E+2"
"107.0499","8.90E+1","108.0448","2.90E+1","116.0478","2.10E+1"
"108.0355","7.70E+1","108.4585","2.10E+1","116.0693","4.90E+1"
"108.2215","2.10E+1","109.0251","2.20E+1","116.9539","2.30E+1"
"109.0089","2.10E+1","110.0563","2.60E+1","116.9746","6.30E+1"
"110.0292","2.90E+1","110.0749","1.22E+2","117.0579","4.40E+1"
"110.077","1.06E+2","110.1005","3.30E+1","118.0564","1.93E+1"
"111.0528","2.00E+1","111.093","1.26E+2","118.07","1.31E+2"
"111.0939","3.50E+1","112.0432","1.80E+2","119.0589","5.42E+1"
"111.1333","2.30E+1","112.0659","6.00E+1","119.0769","2.50E+1"
"111.3679","2.30E+1","112.0894","1.10E+2","120.0634","1.49E+1"
