"mz_10eV","10eV","mz_20eV","20eV","mz_30eV","30eV"
"55.0263","2.40E+1","53.5646","2.30E+1","52.0978","2.20E+1"
"60.211","2.00E+1","54.2497","2.30E+1","55.0216","1.08E+2"
"60.6159","2.40E+1","55.0269","2.55E+2","55.0279","1.27E+2"
"61.6823","2.10E+1","55.0351","2.96E+1","56.0153","2.10E+1"
"62.12","2.40E+1","57.9389","1.15E+2","56.9402","2.20E+1"
"63.5073","2.10E+1","59.3002","2.10E+1","61.0865","2.40E+1"
"65.0262","2.30E+1","60.1759","2.30E+1","63.795","7.10E+1"
"68.4359","2.80E+1","61.1829","2.40E+1","64.006","2.20E+1"
"69.0274","2.70E+1","61.9256","5.70E+1","64.9797","8.00E+1"
"69.0719","2.80E+1","62.8363","2.40E+1","64.9933","6.36E+1"
"69.9992","2.10E+1","62.8741","2.10E+1","65.0133","1.10E+4"
"70.9702","4.00E+1","63.857","3.40E+1","65.0387","3.42E+1"
"71.0114","2.20E+1","64.1488","3.10E+1","65.048","3.90E+1"
"74.5145","2.20E+1","64.9903","8.83E+1","65.058","3.10E+1"
"76.0085","2.00E+1","65.0133","1.32E+3","65.0842","2.50E+1"
"76.6245","3.20E+1","65.0347","4.20E+1","65.1141","1.02E+2"
"76.9725","3.20E+1","65.7472","4.70E+1","65.9135","2.60E+1"
"77.036","2.80E+1","66.0134","2.90E+1","66.0159","4.62E+2"
"78.0242","2.10E+1","66.132","2.20E+1","66.6188","5.20E+1"
"79.0567","4.40E+1","66.9912","1.81E+2","66.9992","2.80E+1"
"79.9284","2.30E+1","67.001","1.39E+2","67.0289","5.64E+3"
"80.9459","5.50E+1","67.029","4.16E+3","68.0349","7.90E+1"
"81.0489","2.60E+1","67.0484","7.20E+1","68.3212","2.00E+1"
"81.2245","3.20E+1","68.0311","4.60E+2","68.4114","2.70E+1"
"81.5733","2.60E+1","70.9331","4.40E+1","75.5159","4.10E+1"
"82.0339","3.51E+1","71.8935","2.90E+1","76.0043","1.06E+2"
"82.0431","1.10E+2","71.9795","2.20E+1","76.905","2.10E+1"
"83.0459","3.20E+1","72.3129","6.60E+1","77.0134","3.72E+3"
"83.2292","2.30E+1","72.329","2.40E+1","77.0374","2.90E+1"
"84.086","2.30E+1","72.5601","2.40E+1","77.8756","2.20E+1"
"84.1273","2.50E+1","73.5064","4.70E+1","78.0094","1.05E+2"
"84.6961","3.30E+1","73.7604","2.10E+1","78.0198","5.61E+1"
"84.9635","2.30E+1","74.6802","2.20E+1","78.1401","3.80E+1"
"85.8645","2.00E+1","75.5216","2.20E+1","78.6781","2.10E+1"
"86.6096","2.80E+1","75.6606","2.70E+1","82.0164","2.30E+1"
"88.2238","2.30E+1","75.9669","2.20E+1","82.0406","1.45E+3"
"89.0505","3.70E+1","76.006","2.50E+1","82.1784","2.60E+1"
"89.9387","2.50E+1","76.1835","2.10E+1","82.6917","2.10E+1"
"91.0043","2.40E+1","76.9839","2.10E+1","83.0469","7.30E+1"
"91.0299","2.10E+1","76.9968","4.70E+1","83.621","2.30E+1"
"91.0545","1.37E+3","77.0143","8.83E+2","85.7228","2.90E+1"
"91.0716","1.73E+1","77.0809","2.40E+1","90.2728","2.30E+1"
"91.0844","4.00E+1","77.7645","2.40E+1","90.3414","2.20E+1"
"91.7597","5.10E+1","78.0007","2.50E+1","91.0264","7.20E+1"
"92.0248","4.94E+2","78.0143","1.08E+2","91.0565","4.20E+1"
"92.0428","2.20E+1","78.1475","2.30E+1","91.2197","2.10E+1"
"92.0596","2.11E+2","78.1731","2.00E+1","91.8808","2.10E+1"
"92.1988","2.20E+1","79.0532","7.80E+1","91.9618","2.40E+1"
"93.0158","2.20E+1","79.4597","3.30E+1","91.976","2.10E+2"
"93.0322","1.26E+2","79.5388","2.10E+1","91.9973","7.17E+2"
"93.0436","3.10E+1","79.8772","2.40E+1","92.0254","1.18E+5"
"93.9912","2.10E+1","80.051","2.30E+1","92.0507","3.16E+2"
"94.0214","6.50E+1","80.7762","4.90E+1","92.0748","2.71E+2"
"94.0419","2.76E+3","80.9747","6.60E+1","92.0933","4.90E+1"
"94.0767","6.80E+1","81.0233","9.00E+1","92.1069","2.60E+1"
"94.1416","2.50E+1","81.0435","2.40E+1","92.1126","3.78E+1"
"94.2585","7.80E+1","81.4138","3.30E+1","92.1222","1.10E+2"
"94.391","3.70E+1","81.5699","3.00E+1","92.1617","3.50E+1"
"95.0374","8.01E+1","81.6869","2.70E+1","92.2338","2.20E+1"
"95.0454","2.01E+2","81.9529","3.10E+1","92.411","3.30E+1"
"95.0654","2.10E+1","82.0029","4.80E+1","92.4366","3.70E+1"
"95.8351","2.00E+1","82.0407","2.16E+3","92.5599","2.30E+1"
"95.9688","2.60E+1","82.0678","4.70E+1","92.7789","3.10E+1"
"96.0356","2.25E+1","82.3325","2.10E+1","92.9957","2.30E+1"
"96.0455","2.20E+1","82.9983","2.70E+1","93.0059","8.07E+1"
"96.0944","2.60E+1","83.0253","2.70E+1","93.0275","4.32E+3"
"96.9627","7.10E+1","83.0361","2.40E+1","93.0666","2.90E+1"
"97.0309","1.44E+2","83.1177","3.40E+1","93.0776","2.20E+1"
"97.0396","2.49E+1","83.4373","2.20E+1","93.3044","3.50E+1"
"97.974","2.10E+1","83.6789","4.20E+1","93.5332","3.30E+1"
"98.0027","3.20E+1","83.7484","4.00E+1","93.6497","2.30E+1"
"98.6036","2.20E+1","84.0423","2.10E+1","93.9992","4.60E+1"
"98.9416","2.10E+1","84.5002","2.40E+1","94.0152","7.18E+1"
"98.963","3.58E+3","86.1449","2.10E+1","94.0408","1.11E+4"
"98.9864","1.34E+2","88.1969","2.30E+1","94.0647","4.64E+1"
"99.82","3.10E+1","89.9076","2.40E+1","94.2529","4.20E+1"
"100.4111","2.10E+1","90.6304","2.10E+1","94.334","2.50E+1"
"100.9062","2.50E+1","90.6963","2.40E+1","94.4098","2.20E+1"
"100.9171","2.13E+1","90.8783","2.40E+1","94.7063","6.50E+1"
"100.9335","2.10E+1","91.0144","2.30E+1","95.0089","2.20E+1"
"101.0311","3.20E+1","91.0548","3.22E+2","95.0435","3.78E+2"
"101.8761","2.50E+1","91.179","1.25E+2","95.2628","2.40E+1"
"102.6396","2.70E+1","91.244","5.80E+1","97.0464","3.60E+1"
"103.2285","3.00E+1","91.3761","2.10E+1","97.2011","2.00E+1"
"103.2536","3.80E+1","91.4238","2.50E+1","99.5734","2.30E+1"
"103.3777","3.10E+1","91.4621","2.40E+1","102.3813","2.40E+1"
"104.1807","2.80E+1","91.9519","2.10E+1","103.0269","2.20E+1"
"104.5828","3.00E+1","91.9684","2.60E+1","103.3703","2.50E+1"
"104.7107","3.20E+1","91.9742","5.23E+1","103.5583","2.40E+1"
"105.7095","2.20E+1","91.9789","3.73E+1","104.8964","2.70E+1"
"105.8621","3.20E+1","91.991","2.75E+2","106.1337","2.20E+1"
"105.9653","2.40E+1","92.0254","7.21E+4","107.0396","2.30E+1"
"105.9981","2.50E+1","92.0541","1.42E+2","107.0575","2.30E+1"
"107.0529","9.30E+1","92.0765","3.60E+1","108.0451","4.60E+1"
"107.2795","2.10E+1","92.1896","2.50E+1","108.9184","2.70E+1"
"107.784","4.90E+1","92.2424","6.90E+1","109.0059","2.70E+1"
"108.0468","6.10E+1","92.2768","8.40E+1","109.025","2.52E+1"
"108.0908","4.10E+1","92.3049","2.70E+1","109.0516","4.82E+3"
"108.9883","3.40E+1","92.3715","2.40E+1","109.4313","2.50E+1"
"109.0527","1.30E+3","92.5297","4.80E+1","110.0458","4.23E+2"
"109.0694","5.29E+1","92.5401","2.61E+1","110.0588","1.50E+2"
"109.9594","2.10E+1","92.756","2.20E+1","112.3179","2.20E+1"
"110.038","2.70E+1","93.0278","2.26E+3","113.165","2.20E+1"
"110.0566","2.21E+2","93.0529","2.10E+1","114.4004","2.10E+1"
"110.0966","4.50E+1","93.0714","5.21E+1","115.0629","3.60E+1"
"111.045","1.49E+2","93.1131","2.80E+1","115.361","3.60E+1"
"111.0958","2.00E+1","93.2524","5.00E+1","115.6283","2.20E+1"
"111.3338","2.30E+1","93.4688","2.00E+1","116.0813","2.50E+1"
"111.5261","2.00E+1","93.5102","4.40E+1","116.178","3.40E+1"
"112.0738","2.02E+2","93.7427","2.10E+1","116.6638","2.40E+1"
"112.0933","4.73E+1","93.8791","2.10E+1","116.6761","2.40E+1"
"112.4277","3.20E+1","93.9575","2.80E+1","117.0599","2.10E+1"
"113.1456","3.70E+1","93.9879","4.29E+1","117.6035","2.10E+1"
"113.4309","3.30E+1","94.0002","9.24E+1","118.5672","2.30E+1"
"113.6014","2.10E+1","94.0117","1.70E+2","118.6804","2.90E+1"
"113.9068","2.10E+1","94.0409","7.05E+4","118.7164","3.30E+1"
"113.9666","2.80E+1","94.0684","2.05E+2","118.8954","2.10E+1"
"114.0826","4.60E+1","94.0854","1.47E+2","118.9661","2.02E+2"
