"mz_10eV","10eV","mz_20eV","20eV","mz_40eV","40eV"
"73.062","7.50E+1","57.9702","2.20E+1","56.0388","2.60E+1"
"101.0756","2.20E+1","69.0623","2.00E+1","70.0204","2.30E+1"
"115.0488","7.60E+1","69.0724","2.30E+1","70.0331","2.60E+1"
"116.0703","2.00E+1","70.0278","4.34E+1","70.0412","1.97E+1"
"116.0908","2.60E+1","70.0357","4.16E+1","70.0699","2.20E+1"
"118.7644","3.50E+1","70.0645","1.32E+2","77.0296","2.30E+1"
"120.0774","2.10E+1","71.9533","2.30E+1","80.0083","2.20E+1"
"130.0456","3.10E+1","72.0265","3.10E+1","82.037","2.10E+1"
"130.1211","3.90E+1","72.0452","2.10E+1","83.0696","2.00E+1"
"130.1729","5.30E+1","72.0594","2.30E+1","84.0463","1.32E+2"
"131.0831","2.10E+1","73.2134","5.30E+1","84.0822","2.61E+2"
"133.0617","4.40E+1","84.0367","6.36E+1","86.1007","1.21E+2"
"136.0601","2.00E+1","84.0472","3.48E+2","90.0597","1.06E+2"
"143.1187","5.50E+1","84.0808","2.60E+1","90.9499","4.50E+1"
"146.0837","3.30E+1","86.0685","2.10E+1","91.0572","2.20E+1"
"147.1121","2.30E+1","86.0969","4.85E+2","94.0496","2.60E+1"
"148.0675","2.20E+1","87.056","2.86E+2","95.0254","2.30E+1"
"158.0955","5.50E+1","87.1004","2.00E+1","96.0467","2.40E+1"
"164.0685","5.60E+1","88.0402","1.37E+2","96.0598","2.40E+1"
"166.0857","1.88E+2","89.0427","4.80E+1","96.0835","5.20E+1"
"169.0075","2.30E+1","90.0596","2.70E+1","96.9407","2.20E+1"
"169.03","2.20E+1","90.0772","2.10E+1","97.0455","2.80E+1"
"171.1135","2.80E+1","93.0663","2.30E+1","98.0623","2.10E+1"
"177.0574","2.00E+1","93.0767","2.03E+1","99.0262","2.40E+1"
"182.0823","4.30E+1","95.0614","4.30E+1","99.0369","5.00E+1"
"182.726","2.10E+1","96.0514","2.30E+1","99.0906","3.10E+1"
"185.0545","1.42E+2","97.0238","2.70E+1","99.6351","2.30E+1"
"185.1654","2.40E+1","97.0392","4.30E+1","101.0733","2.30E+1"
"185.5391","2.80E+1","97.0609","2.10E+1","102.056","4.40E+1"
"185.5627","2.20E+1","98.0228","2.34E+2","103.0505","7.25E+1"
"186.0963","2.60E+1","98.0565","4.01E+1","103.0616","1.10E+2"
"186.1249","3.10E+1","98.0668","6.80E+1","105.0698","6.00E+1"
"187.1119","5.20E+1","99.0548","2.48E+2","107.0561","2.40E+1"
"188.0946","2.10E+1","99.1084","2.10E+1","108.0606","2.30E+1"
"189.0896","2.30E+1","100.06","4.80E+1","108.9672","4.00E+1"
"193.039","5.50E+1","100.0731","3.43E+1","108.9861","3.30E+1"
"199.0394","2.20E+2","100.0912","8.10E+1","109.0486","2.60E+1"
"199.5572","4.60E+1","101.0118","2.20E+1","110.0717","4.90E+1"
"200.3662","2.50E+1","101.0712","9.90E+1","110.9826","2.10E+1"
"201.0923","2.00E+1","101.1154","2.50E+1","111.0969","2.10E+1"
"201.1209","7.50E+1","102.0447","2.70E+1","113.107","3.20E+1"
"205.0626","2.90E+1","102.0714","5.50E+1","113.1182","2.10E+1"
"206.0564","2.10E+1","102.7284","3.50E+1","113.9804","2.10E+1"
"207.1008","6.00E+1","103.0435","3.63E+1","115.0594","5.60E+1"
"207.1183","2.10E+1","103.0593","1.68E+2","115.0891","4.50E+1"
"210.637","2.20E+1","104.0563","1.06E+2","116.974","2.40E+1"
"215.0984","2.10E+1","104.8989","3.10E+1","117.0615","5.00E+1"
"215.1458","2.30E+1","105.0741","6.10E+1","118.0679","4.20E+1"
"215.9183","2.30E+1","105.4341","3.50E+1","120.0398","2.20E+1"
"215.9776","2.40E+1","105.5759","2.80E+1","120.08","1.09E+3"
"216.213","3.20E+1","106.0464","5.60E+1","120.1475","5.30E+1"
"217.0036","2.10E+1","106.2597","2.60E+1","121.0336","2.20E+1"
"217.1049","2.40E+1","106.5436","3.40E+1","121.0831","4.70E+1"
"217.1346","2.10E+1","107.7213","2.30E+1","121.9651","2.10E+1"
"218.1588","2.20E+1","110.0725","2.18E+2","122.0164","2.40E+1"
"218.2952","2.20E+1","111.0653","1.10E+2","123.0486","7.10E+1"
"219.0524","5.00E+1","111.0877","2.00E+1","123.0837","2.30E+1"
"219.1294","3.78E+2","112.0529","2.60E+1","123.1066","2.10E+1"
"219.1522","1.42E+2","112.0877","4.77E+2","123.9781","2.70E+1"
"220.1202","3.10E+1","112.1148","2.20E+1","124.976","2.60E+1"
"220.1422","4.40E+1","113.0291","1.12E+2","125.0131","2.10E+1"
"221.6301","4.90E+1","113.0597","2.80E+1","125.0596","1.16E+2"
"222.3249","3.10E+1","113.0791","1.01E+2","125.0803","2.10E+1"
"225.1712","3.30E+1","113.9899","2.90E+1","127.0755","2.40E+1"
"226.0353","3.80E+1","114.0385","3.20E+1","127.0855","3.50E+1"
"227.0545","2.90E+1","114.0779","2.10E+1","128.0494","5.30E+1"
"227.0664","2.00E+1","114.0882","2.10E+1","129.056","5.70E+1"
"227.1119","2.20E+1","114.1439","5.30E+1","129.0762","2.20E+1"
"227.1949","2.00E+1","114.9753","4.30E+1","129.1025","3.19E+2"
