"Low","low","Med","med","High","high"
"84.042945861816","1","255.04600524902","7","451.04565429688","14"
"84.063575744629","1","256.07287597656","7","464.31030273438","14"
"120.0372467041","1","260.38583374023","7","493.05477905273","14"
"120.09552764893","1","261.10595703125","7","500.27627563477","14"
"129.07220458984","1","261.93301391602","7","522.11547851562","14"
"131.05058288574","1","267.01638793945","7","540.10052490234","14"
"135.05009460449","1","271.05291748047","7","570.07653808594","14"
"136.06950378418","1","271.09332275391","7","601.23822021484","14"
"147.04693603516","1","281.02462768555","7","601.24322509766","14"
"151.04530334473","1","283.08255004883","7","844.36328125","14"
"154.08500671387","1","287.07189941406","7","1165.5018310547","14"
"155.05401611328","1","297.03518676758","7","109.02180480957","15"
"157.10111999512","1","301.11422729492","7","112.05001831055","15"
"159.09199523926","1","303.57571411133","7","124.04396057129","15"
"161.07981872559","1","304.12487792969","7","127.03508758545","15"
"164.04275512695","1","304.1748046875","7","129.07685852051","15"
"164.07682800293","1","311.05639648438","7","137.01371765137","15"
"165.05305480957","1","311.05999755859","7","139.02770996094","15"
"165.13453674316","1","329.04595947266","7","148.06079101562","15"
"173.05595397949","1","329.05337524414","7","154.07992553711","15"
"173.05863952637","1","330.10809326172","7","154.08245849609","15"
"176.95831298828","1","350.15463256836","7","164.04014587402","15"
"177.03996276855","1","371.10333251953","7","164.10302734375","15"
"185.0466003418","1","375.07046508789","7","165.01889038086","15"
"187.07803344727","1","375.15765380859","7","182.07821655273","15"
"195.03454589844","1","378.14321899414","7","183.12313842773","15"
"198.07751464844","1","378.16708374023","7","183.14805603027","15"
"199.05184936523","1","389.21444702148","7","183.1535949707","15"
"199.14709472656","1","391.06506347656","7","186.08883666992","15"
"202.98475646973","1","393.05795288086","7","201.01058959961","15"
"205.04765319824","1","393.09039306641","7","202.99641418457","15"
"208.93852233887","1","393.09851074219","7","203.00807189941","15"
"209.97178649902","1","393.10662841797","7","203.01681518555","15"
"212.08767700195","1","401.94918823242","7","203.05763244629","15"
"212.11151123047","1","402.01480102539","7","220.10154724121","15"
"213.05104064941","1","424.96224975586","7","224.11061096191","15"
"213.06895446777","1","446.05883789062","7","229.06831359863","15"
"213.16452026367","1","447.2001953125","7","233.11100769043","15"
"214.06448364258","1","485.02941894531","7","233.13600158691","15"
"215.1463470459","1","500.27169799805","7","248.99264526367","15"
"217.10417175293","1","512.00280761719","7","249.14761352539","15"
"218.14532470703","1","513.81890869141","7","255.09173583984","15"
"228.14659118652","1","585.19488525391","7","257.04934692383","15"
"229.03735351562","1","716.34918212891","7","260.11190795898","15"
"233.10789489746","1","809.04455566406","7","261.18859863281","15"
"233.13287353516","1","85.026641845703","8","263.14617919922","15"
"234.05522155762","1","117.0637588501","8","268.11395263672","15"
"240.07109069824","1","120.03276062012","8","269.03924560547","15"
"240.0901184082","1","120.09104156494","8","269.04931640625","15"
"241.0546875","1","131.07633972168","8","270.04010009766","15"
"242.08168029785","1","137.01611328125","8","283.05847167969","15"
"247.03065490723","1","139.04217529297","8","285.02020263672","15"
"253.0505065918","1","148.06327819824","8","287.16897583008","15"
"253.11560058594","1","152.04760742188","8","294.05993652344","15"
"254.03424072266","1","157.10369873047","8","299.0305480957","15"
"254.04075622559","1","158.08984375","8","302.0627746582","15"
"257.0198059082","1","159.09457397461","8","303.06622314453","15"
"258.05392456055","1","171.0782623291","8","303.14102172852","15"
"258.14596557617","1","171.15855407715","8","303.57214355469","15"
"267.04647827148","1","175.03146362305","8","306.04006958008","15"
"268.10723876953","1","189.05302429199","8","323.03247070312","15"
"278.10015869141","1","191.1091003418","8","325.12423706055","15"
"279.08694458008","1","196.12168884277","8","330.13412475586","15"
"283.07568359375","1","201.0657043457","8","331.09378051758","15"
"295.05352783203","1","203.98275756836","8","342.16955566406","15"
"299.09774780273","1","203.98860168457","8","351.10464477539","15"
"299.11898803711","1","211.04028320312","8","354.1201171875","15"
"300.06439208984","1","226.07487487793","8","357.20651245117","15"
"303.07336425781","1","228.05081176758","8","383.00399780273","15"
"304.1676940918","1","229.0249786377","8","383.0400390625","15"
"310.03979492188","1","229.04664611816","8","391.06100463867","15"
"311.06723022461","1","230.07568359375","8","393.08633422852","15"
"315.12857055664","1","233.13912963867","8","401.95327758789","15"
"315.16488647461","1","237.04731750488","8","404.0559387207","15"
"319.01528930664","1","245.06042480469","8","422.04061889648","15"
"322.07354736328","1","245.13409423828","8","429.13900756836","15"
"330.13784790039","1","247.04351806641","8","432.15310668945","15"
"331.03051757812","1","253.04400634766","8","445.06567382812","15"
"331.06399536133","1","253.05702209473","8","463.1076965332","15"
"335.11114501953","1","253.18394470215","8","498.22393798828","15"
"335.95053100586","1","254.14511108398","8","498.25134277344","15"
"339.03594970703","1","255.16035461426","8","507.06643676758","15"
"342.9912109375","1","259.13952636719","8","551.01373291016","15"
"343.04043579102","1","263.14947509766","8","551.10498046875","15"
"346.83981323242","1","270.09390258789","8","587.07196044922","15"
"361.07165527344","1","278.09332275391","8","588.98675537109","15"
"365.06704711914","1","279.08010864258","8","613.05847167969","15"
"366.90643310547","1","281.0451965332","8","84.041069030762","16"
"372.09313964844","1","283.0378112793","8","86.093864440918","16"
"376.06951904297","1","285.13418579102","8","109.10512542725","16"
"387.03408813477","1","285.56268310547","8","109.10726165771","16"
"389.1135559082","1","285.8600769043","8","135.04058837891","16"
"390.08666992188","1","293.09951782227","8","156.13851928711","16"
"391.06909179688","1","294.06344604492","8","163.0251159668","16"
"399.06701660156","1","295.06759643555","8","164.07420349121","16"
"404.03125","1","300.05731201172","8","185.04937744141","16"
"408.03384399414","1","303.06979370117","8","191.06384277344","16"
"413.11990356445","1","304.11773681641","8","192.04064941406","16"
"416.16912841797","1","306.04364013672","8","199.13844299316","16"
"422.04483032227","1","310.72814941406","8","199.14421081543","16"
"423.1213684082","1","313.09460449219","8","211.15322875977","16"
"428.06750488281","1","318.91665649414","8","220.76669311523","16"
"429.12203979492","1","323.05819702148","8","229.02807617188","16"
"430.17364501953","1","336.94863891602","8","240.1344909668","16"
"437.25854492188","1","350.03598022461","8","245.03800964355","16"
"439.15991210938","1","350.18142700195","8","253.04725646973","16"
"447.20883178711","1","352.95849609375","8","258.1623840332","16"
"456.32669067383","1","355.07934570312","8","270.05355834961","16"
"479.07824707031","1","366.89859008789","8","285.02365112305","16"
"480.14898681641","1","369.1276550293","8","292.05676269531","16"
"540.09576416016","1","373.10797119141","8","297.03164672852","16"
"557.25469970703","1","375.0387878418","8","299.09423828125","16"
"761.25537109375","1","389.10546875","8","302.08767700195","16"
"824.42016601562","1","398.10723876953","8","304.17126464844","16"
"70.059959411621","2","405.07635498047","8","309.20825195312","16"
"103.04829406738","2","408.04208374023","8","309.21185302734","16"
"117.02613067627","2","413.11157226562","8","313.09097290039","16"
"121.03444671631","2","418.06176757812","8","314.14883422852","16"
"132.09243774414","2","423.11294555664","8","315.16125488281","16"
"136.06712341309","2","426.15231323242","8","320.02822875977","16"
"137.0233001709","2","445.06134033203","8","340.04995727539","16"
"137.03048706055","2","448.08746337891","8","358.16989135742","16"
"144.8917388916","2","497.07391357422","8","379.07864379883","16"
"150.91963195801","2","503.06210327148","8","389.09335327148","16"
"165.02415466309","2","522.11077880859","8","392.1540222168","16"
"173.09094238281","2","570.07165527344","8","393.01333618164","16"
"181.06932067871","2","696.16918945312","8","405.08459472656","16"
"182.08097839355","2","127.03277587891","9","408.03796386719","16"
"183.11207580566","2","129.07452392578","9","413.20306396484","16"
"187.03326416016","2","131.04354858398","9","426.15655517578","16"
"187.08642578125","2","133.03456115723","9","428.06326293945","16"
"191.05819702148","2","136.06234741211","9","434.09024047852","16"
"200.06329345703","2","143.11932373047","9","439.15133666992","16"
"201.10922241211","2","151.02268981934","9","455.15191650391","16"
"203.01390075684","2","156.12573242188","9","455.16064453125","16"
"203.05471801758","2","157.06010437012","9","563.98742675781","16"
"206.04777526855","2","163.02774047852","9","587.07690429688","16"
"214.16625976562","2","164.10565185547","9","657.29296875","16"
"218.95278930664","2","165.13191223145","9","657.29815673828","16"
"219.0799407959","2","169.05609130859","9","824.41430664062","16"
"220.13189697266","2","169.08801269531","9","121.02994537354","17"
"226.08103942871","2","173.04788208008","9","123.03440856934","17"
"227.13729858398","2","173.06132507324","9","135.03108215332","17"
"231.07279968262","2","176.96104431152","9","144.89419555664","17"
"233.03918457031","2","202.98184204102","9","156.13595581055","17"
"233.04542541504","2","203.0051574707","9","158.09242248535","17"
"237.01268005371","2","205.01249694824","9","165.02151489258","17"
"237.01898193359","2","205.05351257324","9","167.07237243652","17"
"245.02200317383","2","209.0242767334","9","168.0733795166","17"
"248.06384277344","2","216.07151794434","9","169.09066772461","17"
"249.14114379883","2","218.13928222656","9","201.0366973877","17"
"253.10908508301","2","218.94674682617","9","201.0511932373","17"
"256.03359985352","2","229.08380126953","9","206.04190063477","17"
"258.1328125","2","240.06793212891","9","216.08354187012","17"
"258.16567993164","2","247.03387451172","9","219.15565490723","17"
"259.14611816406","2","248.06706237793","9","225.19911193848","17"
"259.15930175781","2","248.07028198242","9","229.05284118652","17"
"262.1184387207","2","249.13146972656","9","230.07878112793","17"
"267.13003540039","2","256.04013061523","9","238.12255859375","17"
"269.04595947266","2","262.11514282227","9","243.14912414551","17"
"270.03338623047","2","264.05953979492","9","255.04927062988","17"
"270.0569152832","2","267.06652832031","9","255.09501647949","17"
"270.80709838867","2","270.04681396484","9","287.0615234375","17"
"271.1169128418","2","270.81384277344","9","287.06497192383","17"
"277.03338623047","2","281.05548095703","9","304.65310668945","17"
"281.03146362305","2","282.07153320312","9","310.04339599609","17"
"283.03094482422","2","295.060546875","9","311.99517822266","17"
"293.04699707031","2","299.07653808594","9","312.12164306641","17"
"294.0458984375","2","302.18368530273","9","316.04803466797","17"
"294.05642700195","2","302.1872253418","9","318.17547607422","17"
"296.11569213867","2","304.66024780273","9","324.04437255859","17"
"296.12274169922","2","309.05001831055","9","334.46734619141","17"
"299.0517578125","2","309.16149902344","9","340.01977539062","17"
"300.17425537109","2","322.06985473633","9","345.07052612305","17"
"302.19079589844","2","328.07073974609","9","423.25183105469","17"
"304.07135009766","2","340.05374145508","9","427.08612060547","17"
"305.0602722168","2","342.17333984375","9","433.13177490234","17"
"305.08172607422","2","343.03286743164","9","485.17361450195","17"
"306.07229614258","2","346.83599853516","9","575.11364746094","17"
"308.076171875","2","351.00497436523","9","761.24969482422","17"
"309.20468139648","2","351.05096435547","9","72.088081359863","18"
"316.04437255859","2","357.07119750977","9","120.05966186523","18"
"323.06555175781","2","357.07507324219","9","121.08396148682","18"
"329.10162353516","2","376.06158447266","9","124.04623413086","18"
"334.45986938477","2","379.07464599609","9","128.0632019043","18"
"336.07803344727","2","390.07858276367","9","131.0458984375","18"
"337.06881713867","2","392.04870605469","9","134.04162597656","18"
"338.06106567383","2","392.05276489258","9","135.0477142334","18"
"338.09869384766","2","392.1418762207","9","144.07781982422","18"
"341.97659301758","2","399.05883789062","9","149.02317810059","18"
"345.078125","2","399.08334350586","9","151.04280090332","18"
"351.05862426758","2","403.09838867188","9","159.09715270996","18"
"351.10079956055","2","404.03536987305","9","162.02627563477","18"
"355.26052856445","2","404.04769897461","9","165.12928771973","18"
"359.99182128906","2","411.06842041016","9","176.96376037598","18"
"361.06390380859","2","417.06686401367","9","200.06619262695","18"
"362.04022216797","2","423.12557983398","9","203.98568725586","18"
"364.05151367188","2","424.20352172852","9","208.94442749023","18"
"364.0944519043","2","424.9538269043","9","226.12716674805","18"
"368.15356445312","2","439.15560913086","9","227.07255554199","18"
"377.08181762695","2","446.97094726562","9","228.12495422363","18"
"383.03604125977","2","447.07043457031","9","230.04774475098","18"
"389.09741210938","2","472.99472045898","9","231.09768676758","18"
"392.05682373047","2","490.17456054688","9","253.11233520508","18"
"402.18710327148","2","490.18362426758","9","253.18721008301","18"
"403.09014892578","2","491.07626342773","9","254.03749084473","18"
"405.02285766602","2","555.01623535156","9","255.16363525391","18"
"407.12112426758","2","585.13055419922","9","256.0696105957","18"
"413.20721435547","2","586.14544677734","9","259.07037353516","18"
"417.07104492188","2","586.2197265625","9","277.02996826172","18"
"423.13400268555","2","1165.4947509766","9","282.06811523438","18"
"435.00708007812","2","84.05982208252","10","290.08135986328","18"
"438.16589355469","2","103.05037689209","10","295.05703735352","18"
"442.10140991211","2","103.0524520874","10","300.17071533203","18"
"447.05313110352","2","139.04458618164","10","304.12130737305","18"
"457.18798828125","2","140.06199645996","10","324.09222412109","18"
"475.19509887695","2","150.91459655762","10","337.15896606445","18"
"544.11578369141","2","153.07093811035","10","357.05575561523","18"
"551.00897216797","2","161.03048706055","10","362.07525634766","18"
"551.09539794922","2","163.04602050781","10","377.08978271484","18"
"551.10980224609","2","164.96109008789","10","407.09634399414","18"
"579.27642822266","2","171.14784240723","10","416.16076660156","18"
"581.06018066406","2","173.09362792969","10","419.07461547852","18"
"585.20477294922","2","174.13677978516","10","434.06039428711","18"
"586.22961425781","2","177.0426940918","10","447.05743408203","18"
"601.23321533203","2","179.0708770752","10","453.29025268555","18"
"613.06860351562","2","182.07545471191","10","456.02084350586","18"
"696.15844726562","2","187.02766418457","10","475.11038208008","18"
"716.36016845703","2","191.10626220703","10","485.02493286133","18"
"761.24407958984","2","198.07174682617","10","493.04571533203","18"
"84.039192199707","3","205.03007507324","10","85.028526306152","19"
"85.030410766602","3","207.05326843262","10","123.03668212891","19"
"103.06698608398","3","212.09065246582","10","129.09312438965","19"
"109.10939788818","3","212.09362792969","10","165.08459472656","19"
"120.06190490723","3","212.11448669434","10","173.05325317383","19"
"121.08171081543","3","212.1174621582","10","185.15515136719","19"
"126.97975158691","3","220.12886047363","10","199.06916809082","19"
"129.09080505371","3","225.14692687988","10","199.18751525879","19"
"129.10707092285","3","227.14346313477","10","201.11212158203","19"
"136.0862121582","3","227.16505432129","10","209.02723693848","19"
"144.07536315918","3","229.04354858398","10","211.10568237305","19"
"155.07948303223","3","240.08694458008","10","211.10864257812","19"
"159.04039001465","3","245.03161621094","10","214.16925048828","19"
"165.06356811523","3","245.03480529785","10","249.76150512695","19"
"165.08985900879","3","247.0403137207","10","253.18069458008","19"
"171.08361816406","3","254.1614074707","10","271.05966186523","19"
"171.16389465332","3","258.05065917969","10","294.13360595703","19"
"177.10530090332","3","259.06051635742","10","299.11544799805","19"
"181.09410095215","3","259.15270996094","10","326.10244750977","19"
"183.12037658691","3","267.0498046875","10","337.67001342773","19"
"183.12591552734","3","267.13674926758","10","338.10244750977","19"
"191.10343933105","3","268.11059570312","10","366.09576416016","19"
"197.0682220459","3","270.03674316406","10","373.10006713867","19"
"197.11418151855","3","270.81048583984","10","377.09771728516","19"
"200.06907653809","3","271.12365722656","10","389.21038818359","19"
"201.00769042969","3","285.12036132812","10","407.12524414062","19"
"201.01348876953","3","286.12991333008","10","429.13052368164","19"
